Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;250.00008837784836;-449.9996447029541;400.00007862466146;2.3118114985353113e-06;0.7853976052752565;7.179480473874484e-07;1.3996474043544294;-0.9017545896388424;1.2284944456455948;-1.345709262841864;1.3440284753580933;1.8276876471690202;-23.791713390054767;-10.75390284895668;-32.13003164922894;-11.352782986366227;-0.27603747496336783;-0.1144759209066334;-0.2760545378557213;-0.11446817245947778;54326.67264471091
0.012;250.00004971558474;-449.999797434698;400.00004490921486;1.3155370730375846e-06;0.7853978501252035;4.1225169117192894e-07;1.3996474043544294;-0.9017546063764575;1.2284944550322396;-1.3457092440795748;1.34402763155912;1.8276876215024136;-23.790889599054793;-10.75416036270969;-32.13003164922894;-11.352782986366227;-0.2760374749824393;-0.11447592089708823;-0.27604646699373503;-0.11447043050009187;0.0
0.024;250.00002800862515;-449.99988466697783;400.00002557740714;7.481534529479847e-07;0.7853979870518306;2.3610007222683415e-07;1.3996474043544294;-0.9017546136871399;1.2284944591388967;-1.3457092357892608;1.3440271524169893;1.8276876102091066;-23.789882697369137;-10.75481226375766;-32.13003164922894;-11.352782986366227;-0.27603747500217635;-0.11447592088429422;-0.27603544421310167;-0.11447715907030544;0.007662309170682443
0.036000000000000004;250.00001581564013;-449.999934388599;400.0000145127235;4.2570474402123306e-07;0.7853980636578489;1.3541183824163893e-07;1.3996474043544294;-0.9017546167653221;1.2284944608988926;-1.3457092322986024;1.3440268805981188;1.8276876050757853;-23.790020665840213;-10.754714519373218;-24.274764774934603;-9.843083576996122;-0.27603747499749076;-0.11447592088718879;-0.27603732756129906;-0.11447602583904833;0.007662309170682443
0.048;250.0000089196703;-449.99996271890785;400.0000082549448;2.418726337651986e-07;0.7853981069398913;7.70773082825619e-08;1.3996474043544294;-0.9017546183044132;1.2284944616811129;-1.3457092305532732;1.3440267261657226;1.8276876030224567;-23.790033959270634;-10.754699631127188;-22.74496236711868;-9.094159090477987;-0.27373665386272855;-0.1135862287423692;-0.2760376300950859;-0.11447582389475126;0.0024851232056915815
0.06;250.0000053238558;-449.9999773460119;399.9998129390903;1.4651032422596773e-07;0.7853981294326597;4.693443500883691e-08;1.3996474043544294;-0.9017544193768948;1.2284948950312107;-1.3457093719249427;1.344026504782866;1.827688234763202;-26.358272185278476;-10.755001381443916;-21.229881853310502;-8.34211998627972;-0.242641961171189;-0.09405788188522804;-0.2760061543219075;-0.11446427907099228;0.016324649990294555
0.072;249.99988274541084;-449.99911997671535;399.95839665395795;7.364156843022086e-05;0.7854106765528112;0.00010357184593036177;1.3996474008195854;-0.9016930288825924;1.228543001194273;-1.3457173140457037;1.3440189400503086;1.8277235448272982;-37.60944117508267;-15.937203166504883;-20.504714427913097;-7.959129911540539;-0.17507424372898708;-0.04614293847160026;-0.27500168746087245;-0.11392444158158348;3.4521116242226277
0.08399999999999999;249.99981573447118;-449.9975730272451;399.8148584648621;0.00021973874210996007;0.7854347798275452;0.0003072084982597807;1.3996473440411528;-0.9015056630162086;1.2287745808660724;-1.3457788840257263;1.3439601512970827;1.8279971084186986;-37.49683916834844;-16.051336864374754;-20.57012863069893;-7.944608327911931;-0.11617911948331616;-0.02151796225968383;-0.269804898473857;-0.11045307765356666;11.962211599283124
0.09599999999999999;250.0001903792736;-449.9962981540509;399.49626043664983;0.0003542439929987079;0.78545515364443;0.0004901683460396173;1.3996469814987094;-0.9011355803003472;1.2294036972615912;-1.3459748679200974;1.343771506322908;1.8288669363713292;-36.756387087280075;-16.079081637640286;-20.65844817210902;-7.925163437452365;-0.09342247552703563;-0.009795839700221113;-0.2583319305264133;-0.10321710734288247;26.550066367941817
0.10799999999999998;250.00067633472906;-449.9916394823288;398.92266383776877;0.0004230995186834084;0.7854625615216589;0.0005765179497407953;1.3996455828051024;-0.9005274417543326;1.230667760918994;-1.346384236641482;1.3433750553758677;1.8306804087528643;-35.611286316995745;-16.03230333337842;-20.769478544519835;-7.9008308881084455;-0.08981748593045848;-0.005977426321365492;-0.24254791928935673;-0.09410786602967842;47.80130983086515
0.11999999999999998;250.0012317010668;-449.98051408827195;398.03381671823803;0.0004298677933848107;0.7854586409028599;0.0005739932790051;1.3996416739303612;-0.8996236971084214;1.232710484302218;-1.3470527472687133;1.3427252011751802;1.8336330554838471;-34.35277185480716;-15.636701243404515;-20.902985277145387;-7.871662495440728;-0.09094588098046813;-0.004320987893164462;-0.22529182286372632;-0.08415877518475003;74.07640907769674
0.13199999999999998;250.0017707843;-449.95742944774923;396.80307662948223;0.0004253650323617338;0.7854532737920872;0.0005572827768309859;1.3996329046450449;-0.8983929592940351;1.235576291662936;-1.347988320105937;1.3418150534025963;1.837747050459093;-32.94507376207857;-14.9161707996835;-21.05868983744278;-7.83772174832652;-0.09247760432959481;-0.0019079081335580748;-0.2078684873986508;-0.07393934357802516;102.57972275555001
0.144;250.00978452110542;-449.91009570145957;395.2328506648628;0.0004424742808423737;0.7854495445294118;0.00055000181745499;1.399599337544974;-0.896849823896384;1.2392788204270355;-1.3491912224066949;1.340648250592488;1.8430051070479139;-31.296082389909824;-14.085732607204346;-21.236265811449506;-7.799079204286516;-0.09445079912370453;0.0009326084782499858;-0.19056307673061323;-0.06353881584052411;130.9133046612808
0.156;250.01338005021248;-449.8346615965602;393.3297130034743;0.000449209013697073;0.785446292720212;0.0005437914480745035;1.3995633599021855;-0.8950242835675548;1.2438465199502116;-1.3506681481631666;1.3392245744863533;1.8494128612949081;-29.570806115374776;-13.281766277201566;-21.435335883783686;-7.755808080888172;-0.09701441582087557;0.0040740962402634195;-0.17341383945599886;-0.05289768420077683;158.71961929639738
0.168;250.01845217520045;-449.7151633219694;391.09629369590675;0.0004575460776125151;0.785443069065983;0.0005364341465785373;1.3995069563839548;-0.8929450210007627;1.2493218039821712;-1.3524296749432843;1.3375417639439655;1.8569871717117643;-27.864483615053004;-12.500140629483365;-21.655470100043217;-7.707980386564301;-0.10014115229247027;0.007539152993743474;-0.1564682346211975;-0.041981086148431525;186.3849675129413
0.18000000000000002;250.02469513367694;-449.53693587182465;388.53453870644574;0.00046707800853451365;0.7854397180350106;0.0005278441377207921;1.3994250065477412;-0.8906432008659297;1.2557551996580938;-1.3544888510467012;1.3355969311687854;1.865749340897557;-26.161140291091986;-11.721149074691107;-21.896185791477354;-7.65566396378305;-0.10382357279543081;0.011311242329080937;-0.1397806094655524;-0.030759819838129906;213.99624396208168
0.19200000000000003;250.0319406784147;-449.28311616827756;385.6467594218633;0.0004774574416979148;0.7854360997266685;0.0005177480553599554;1.3993111905342301;-0.8881536689539993;1.2632038432888137;-1.3568611062748366;1.333386938862223;1.8757241391810286;-24.471481422954714;-10.94368270895652;-22.156949373405503;-7.598920837199723;-0.10805694445501042;0.015367683040236038;-0.12354116633663344;-0.019262473058312777;241.5767934925189
0.20400000000000004;250.03990602139072;-448.93480586083444;382.43589546870214;0.00048806428975877337;0.7854321220049073;0.0005059746536576969;1.399158537410018;-0.8855147434377123;1.2717304450921318;-1.3595641770998812;1.3309088195566914;1.8869388460583876;-22.964194753657225;-10.262471049050976;-22.43718000355917;-7.537807267861635;-0.11283168195473957;0.01968457191955709;-0.10951414963669855;-0.008523804153274441;269.1425513104493
0.21600000000000005;250.0481484537679;-448.47113512557013;378.9058362191418;0.0004978981875040285;0.7854277251679095;0.0004924096107508143;1.3989595128759302;-0.8827680875118232;1.2814022435597043;-1.3626180776487;1.3281601878072744;1.899422447341853;-21.97018714151185;-9.914464484364263;-22.73625482365479;-7.472375911048394;-0.1181364966991268;0.024233887454874613;-0.10116678361795389;-0.001094139557074285;296.6991622355473
0.22800000000000006;250.05615820740007;-447.8692662597648;375.0617047857928;0.0005057609465075024;0.7854228694114715;0.000476932247507744;1.3987057925951458;-0.8799585100808085;1.2922900188815716;-1.3660451036298225;1.3251396318519237;1.913204976383416;-21.566878065714402;-9.84431773853074;-23.053515238705398;-7.402680460973807;-0.12395901258055309;0.028984023991835837;-0.09930720163755787;0.003588081496194587;324.2475959544501
0.24000000000000007;250.06317153237725;-447.10457461956776;370.9101269583222;0.0005098474924920453;0.7854175290310548;0.0004594140514671157;1.3983886530143932;-0.8771337079611161;1.3044670825129665;-1.3698698353877692;1.3218471139752135;1.9283168429786315;-21.493909865027945;-9.885751418444464;-23.388273455930396;-7.328783142612885;-0.13028638032745515;0.03390032512842855;-0.10120238316682569;0.007263104170593612;351.7851364337031
0.25200000000000006;250.0692190628783;-446.15016291375855;366.45950985889203;0.0005100955632856596;0.7854116899179263;0.0004397165371688561;1.3979965902046243;-0.874344000387958;1.318008223523444;-1.3741191213224235;1.3182843867170368;1.9447881212038403;-21.530019925200722;-9.95512019484473;-23.739818358859004;-7.250765383012898;-0.13710629227402865;0.03894550216956141;-0.10452753217394195;0.01078877764300531;379.31709911767615
0.26400000000000007;250.07483407647797;-444.9771487900661;361.7203329061804;0.0005075520550649349;0.7854053497484591;0.0004176927575364498;1.3975159062032718;-0.8716420742957427;1.3329886181816537;-1.378822032946804;1.3144554206860515;1.962647775995754;-21.59809324682912;-10.00994165151316;-24.10741978459036;-7.168741965929507;-0.14440816212621368;0.044080146084751866;-0.10846724046348082;0.014582146791732762;406.84927113987834
0.2760000000000001;250.08022906708655;-443.55528442496336;356.70545182135226;0.0005025373536427734;0.7853985172246725;0.00039318552040034044;1.3969324799711205;-0.8690827578793032;1.3494827139223942;-1.3840097835110863;1.3103668444242054;1.9819228233400865;-21.689675924865472;-10.046020905578766;-24.490330451209275;-7.082878948528245;-0.15218447424793605;0.04926326021657635;-0.11292607913813979;0.018650388918770536;434.3798197277322
0.2880000000000001;250.0856303252922;-441.8529641985068;351.4304121784818;0.0004954018373684821;0.7853912122081569;0.00036603114096469755;1.3962309325063271;-0.8667228418669491;1.3675631094025644;-1.3897155990664076;1.3060283891809645;2.0026374131181424;-21.806225306752733;-10.064045033334455;-24.887785185677362;-6.99341560057981;-0.160432303649756;0.05445275863037118;-0.11791461561087728;0.022947096045644915;461.9100293190952
0.3000000000000001;250.09118455024887;-439.83751360871855;345.9137705371495;0.0004863184175961638;0.7853834673271712;0.0003360577291101278;1.3953947309013925;-0.8646209679363658;1.3872994419882114;-1.395974530623803;1.3014533272156634;2.0248118260558305;-21.947107347310084;-10.062779996643414;-25.298997751929328;-6.90069061630226;-0.16915508657117198;0.05960587920800851;-0.12342501078343793;0.027445069460890908;489.4399174941516
