Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.008;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.012;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.016;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.02;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.024;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.028;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.032;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05200000000000002;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05600000000000002;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.060000000000000026;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.06400000000000003;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.06800000000000003;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.07200000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.07600000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.08000000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.08400000000000005;-123.0;2.0;-2.0;-0.030873303555596948;-0.000192;0.0;-7.718325888899237;0.0;-7.718325888899237
0.08800000000000005;-1354.0;2.0;-125.0;-0.30767324382694955;-0.000192;-0.04268130355559695;-69.19998506783816;0.0;-69.19998506783816
0.09200000000000005;-7403.0;-169.0;-1185.0;-1.5122763829704815;-0.042873303555596945;-0.37855994027135265;-301.150784785883;0.0;-301.150784785883
0.09600000000000006;-95918.0;-1854.0;-5549.0;-22.12886813020606;-0.4214332438269496;-1.623547139143532;-5154.147936808895;0.0;-5154.147936808895
0.10000000000000006;-232226.0;-10033.0;-85885.0;-34.0770277017752;-2.044980382970482;-28.32884774723558;-2987.0398928922846;0.0;-2987.0398928922846
0.10400000000000006;-471133.0;-131528.0;-100698.0;-59.72673858852904;-30.373828130206064;-13.37020757156914;-6412.427721688459;-83.33333333333333;-6329.094388355126
0.10800000000000007;-832731.0;-306504.0;-164629.0;-90.39943692947547;-43.7440357017752;-31.78708688675384;-7668.174585236608;-166.66666666666666;-7501.5079185699415
0.11200000000000007;-1320649.0;-608628.0;-224103.0;-121.97952096804525;-75.53112258852904;-36.38220234094642;-7895.021009642445;-333.3333333333333;-7561.687676309111
0.11600000000000008;-1931893.0;-1056281.0;-264368.0;-152.81095646338076;-111.91332492947546;-35.4455240385698;-7707.858873833878;-583.3333333333334;-7124.525540500545
0.12000000000000008;-2697093.0;-1645716.0;-286177.0;-191.29992665582057;-147.35884896804527;-32.9250994953355;-9622.242548109953;-833.3333333333334;-8788.909214776619
0.12400000000000008;-3653385.0;-2366851.0;-330242.0;-239.07311167174632;-180.28394846338077;-42.71921019243982;-11943.296253981436;-1166.6666666666667;-10776.62958731477
0.12800000000000009;-4839141.0;-3258863.0;-394522.0;-296.4389050914674;-223.00315865582058;-53.94406501592573;-14341.448354930271;-1416.6666666666667;-12924.781688263605
0.1320000000000001;-6286558.0;-4366651.0;-472490.0;-361.8542542387442;-276.9472236717463;-64.85072141972108;-16353.8372868192;-1833.3333333333333;-14520.503953485866
0.1360000000000001;-8018566.0;-5733842.0;-552716.0;-433.00196816028415;-341.7979450914674;-73.11704514727683;-17786.928480384988;-2166.6666666666665;-15620.26181371832
0.1400000000000001;-10049975.0;-7393501.0;-625065.0;-507.8523288162932;-414.9149902387442;-78.09321792153992;-18712.590164002264;-2666.6666666666665;-16045.923497335598
0.1440000000000001;-12390564.0;-9365533.0;-684442.0;-585.1470159840026;-493.00820816028414;-80.55055265600907;-19323.67179192734;-3250.0;-16073.67179192734
0.1480000000000001;-15046837.0;-11659768.0;-730796.0;-664.0681988712718;-573.5587608162932;-81.74467116770938;-19730.2957218173;-3916.6666666666665;-15813.629055150632
0.1520000000000001;-18022608.0;-14280981.0;-765856.0;-743.9429029490026;-655.3034319840026;-82.2869428872691;-19968.676019432707;-4500.0;-15468.676019432707
0.1560000000000001;-21319574.0;-17231342.0;-791266.0;-824.241267782071;-737.5903748712717;-82.3140640777309;-20074.591208267095;-5083.333333333333;-14991.25787493376
0.16000000000000011;-24938062.0;-20510959.0;-808615.0;-904.6221987940798;-819.9044389490026;-81.96386883306832;-20095.232753002223;-5750.0;-14345.232753002221
0.16400000000000012;-28877762.0;-24118432.0;-819630.0;-984.9248701741772;-901.8683077820709;-81.43837101200893;-20075.667845024327;-6416.666666666667;-13659.00117835766
0.16800000000000012;-33138219.0;-28051658.0;-826104.0;-1065.1142648287896;-983.3066787940799;-80.92417538009738;-20047.34866365311;-7083.333333333333;-12964.015330319777
0.17200000000000013;-37719090.0;-32308581.0;-829638.0;-1145.2174751072841;-1064.2308541741772;-80.5286586546124;-20025.802569623636;-7666.666666666667;-12359.135902956968
0.17600000000000013;-42620195.0;-36887619.0;-831471.0;-1225.2762592660704;-1144.7595128287896;-80.27917827849456;-20014.69603969656;-8333.333333333334;-11681.362706363227
0.18000000000000013;-47841486.0;-41787773.0;-832422.0;-1305.3227975965142;-1225.0386911072842;-80.1500801587863;-20011.634582610954;-8916.666666666666;-11094.967915944286
0.18400000000000014;-53382981.0;-47008528.0;-832958.0;-1385.3736158749107;-1305.1887712660705;-80.09799433044373;-20012.704569599122;-9583.333333333334;-10429.37123626579
0.18800000000000014;-59244713.0;-52549675.0;-833306.0;-1465.433033288054;-1385.2867655965142;-80.0842262783965;-20014.854353285842;-10166.666666666666;-9848.187686619174
0.19200000000000014;-65426710.0;-58411158.0;-833555.0;-1545.499106608808;-1465.3709918749107;-80.08332141314327;-20016.51833018849;-10833.333333333334;-9183.184996855156
0.19600000000000015;-71928984.0;-64592975.0;-833735.0;-1625.56831472133;-1545.454313288054;-80.08335332075399;-20017.302028130474;-11416.666666666666;-8600.635361463806
0.20000000000000015;-78751536.0;-71095125.0;-833859.0;-1705.6379647658357;-1625.537666608808;-80.08111211252185;-20017.41251112645;-12083.333333333334;-7934.079177793117
0.20400000000000015;-85894363.0;-77917600.0;-833936.0;-1785.7067854416991;-1705.6187787213298;-80.07704204450579;-20017.20516896586;-12666.666666666666;-7350.538502299192
0.20800000000000016;-93357462.0;-85060383.0;-833980.0;-1865.7745866931741;-1785.6958207658356;-80.07304467586346;-20016.950312868743;-13333.333333333334;-6683.61697953541
