Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;5493.0;-5493.0;-0.0;2.5057459032100833;-3.0330739032100835;0.0;0.0;0.0
0.004;0.0;5493.0;-5493.0;-0.0;2.898404271327131;-3.4257322713271314;0.0;0.0;0.0
0.008;0.0;-5493.0;5493.0;-0.0;-2.917208823665705;3.444536823665705;0.0;0.0;0.0
0.012;0.0;0.0;0.0;-0.0;-1.19296131070668;1.19296131070668;0.0;0.0;0.0
0.016;0.0;0.0;0.0;-0.0;-2.2995624124940828;2.2995624124940828;0.0;0.0;0.0
0.02;0.0;5493.0;-5493.0;-0.0;2.0159793716087036;-2.5433073716087033;0.0;0.0;0.0
0.024;0.0;0.0;0.0;-0.0;-2.058011615890976;2.058011615890976;0.0;0.0;0.0
0.028;0.0;0.0;0.0;-0.0;-2.783728733284041;2.783728733284041;0.0;0.0;0.0
0.032;0.0;0.0;0.0;-0.0;-0.07477792004832963;0.07477792004832963;0.0;0.0;0.0
0.036000000000000004;0.0;5493.0;-5493.0;-0.0;2.4067524415122414;-2.9340804415122417;0.0;0.0;0.0
0.04000000000000001;-108.0;10986.0;-10986.0;-0.02722205342653807;5.0881092716302865;-6.142765271630287;-6.805513356634517;0.0;-6.805513356634517
0.04400000000000001;-1194.0;0.0;-43.0;-0.2712860794534301;0.2935913034498793;-0.3085124222889169;-61.016006506723;0.0;-61.016006506723
0.048000000000000015;-6527.0;0.0;-538.0;-1.3334260915350222;0.12515491774467138;-0.30063303977116934;-265.53500302039805;0.0;-265.53500302039805
0.05200000000000002;-85748.0;-5493.0;2191.0;-19.80515779160235;-1.7691802426038514;1.2885383069502603;-4617.932925016832;0.0;-4617.932925016832
0.05600000000000002;-207284.0;0.0;-37906.0;-30.384120378994762;0.5718101410973205;-12.861741754267936;-2644.7406468481026;0.0;-2644.7406468481026
0.060000000000000026;-420502.0;-16479.0;-116992.0;-53.30450339876606;-2.6265683441306824;-32.495982014152254;-5730.095754942824;-166.66666666666666;-5563.429088276158
0.06400000000000003;-744956.0;-32959.0;-258150.0;-81.11328144677717;-5.854350044604004;-58.337757961834896;-6952.194512002777;-166.66666666666666;-6785.52784533611
0.06800000000000003;-1188715.0;-115356.0;-432538.0;-110.93978375074458;-21.233790642771158;-84.48580762061786;-7456.625575991854;-1083.3333333333333;-6373.292242658521
0.07200000000000004;-1744634.0;-384521.0;-534477.0;-138.979769351824;-74.60424335529933;-69.48163015702735;-7009.996400269852;-3000.0;-4009.996400269852
0.07600000000000004;-2435475.0;-889893.0;-516635.0;-172.71036721189725;-123.40341315214545;-48.07598210271482;-8432.649465018316;-8333.333333333334;-99.31613168498109
0.08000000000000004;-3290728.0;-1461182.0;-554102.0;-213.81314083123794;-143.26822803659823;-62.1146915355219;-10275.693404835174;-10166.666666666666;-109.02673816850773
0.08400000000000005;-4343425.0;-2219238.0;-551284.0;-263.1742357660778;-193.18857470386735;-48.544023795424295;-12340.273733709964;-10416.666666666666;-1923.6070670432978
0.08800000000000005;-5623385.0;-3218994.0;-484101.0;-319.9901123375793;-246.31062313055233;-33.30628001106547;-14203.96914287538;-10166.666666666666;-4037.302476208714
0.09200000000000005;-7152403.0;-4328613.0;-516128.0;-382.2542856265378;-280.6566970592711;-54.30320885370179;-15566.043322239622;-10583.333333333334;-4982.709988906288
0.09600000000000006;-8944455.0;-5619507.0;-602610.0;-448.01299377421;-327.46318556503525;-74.73135307712232;-16439.67703691804;-11250.0;-5189.677036918041
0.10000000000000006;-11008604.0;-7130127.0;-723837.0;-516.0373515637208;-374.9659689971783;-102.48413978973167;-17006.089447377704;-10833.333333333334;-6172.75611404437
0.10400000000000006;-13350826.0;-8937378.0;-814980.0;-585.5553150019658;-457.4477397218159;-95.3886241047918;-17379.490859561258;-12333.333333333334;-5046.157526227924
0.10800000000000007;-15974632.0;-11063232.0;-861932.0;-655.9516980540897;-535.1950011639999;-90.75202846338357;-17599.09576303096;-16250.0;-1349.0957630309595
0.11200000000000007;-18881612.0;-13452759.0;-924641.0;-726.7448353769012;-599.5688582144404;-102.25572690718604;-17698.284330702874;-17666.666666666668;-31.617664036207998
0.11600000000000008;-22072101.0;-16243286.0;-868544.0;-797.6222335406028;-701.7501370187902;-65.2376790340777;-17719.349540925406;-19666.666666666668;1947.317125741261
0.12000000000000008;-25545837.0;-19286499.0;-843059.0;-868.4338667776435;-762.1191651304675;-73.246311619994;-17702.90830926018;-20000.0;2297.091690739819
