Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;2.0;-2.0;-1.3751556198536744e-21;-0.000192;0.0;1.007599419610409e-18;0.0;1.007599419610409e-18
0.004;0.0;2.0;-2.0;7.672484617099859e-22;-0.000192;0.0;5.356010203909151e-19;0.0;5.356010203909151e-19
0.008;0.0;2.0;-2.0;1.3202565152636057e-21;-0.000192;0.0;1.3825201338840494e-19;0.0;1.3825201338840494e-19
0.012;0.0;2.0;-2.0;1.0252296198649431e-21;-0.000192;0.0;-7.375672384966564e-20;0.0;-7.375672384966564e-20
0.016;0.0;2.0;-2.0;5.070356326367329e-22;-0.000192;0.0;-1.2954849680705255e-19;0.0;-1.2954849680705255e-19
0.02;0.0;2.0;-2.0;1.0221052805793296e-22;-0.000192;0.0;-1.0120627614469999e-19;0.0;-1.0120627614469999e-19
0.024;0.0;2.0;-2.0;-9.863985458866018e-23;-0.000192;0.0;-5.0212595661648285e-20;0.0;-5.0212595661648285e-20
0.028;0.0;2.0;-2.0;-1.39702599485297e-22;-0.000192;0.0;-1.0265686224159204e-20;0.0;-1.0265686224159204e-20
0.032;0.0;2.0;-2.0;-1.0221052805793296e-22;-0.000192;0.0;9.37301785684101e-21;0.0;9.37301785684101e-21
0.036000000000000004;0.0;2.0;-2.0;-4.686508928420507e-23;-0.000192;0.0;1.3836359693431974e-20;0.0;1.3836359693431974e-20
0.04000000000000001;0.0;2.0;-2.0;-7.141346938545534e-24;-0.000192;0.0;9.930935586414884e-21;0.0;9.930935586414884e-21
0.04400000000000001;0.0;2.0;-2.0;1.2051022958795589e-23;-0.000192;0.0;4.798092474335281e-21;0.0;4.798092474335281e-21
0.048000000000000015;0.0;2.0;-2.0;1.5175362244409263e-23;-0.000192;0.0;7.8108482140341855e-22;0.0;7.8108482140341855e-22
0.05200000000000002;-415.0;2.0;-2.0;-0.10377608853287494;-0.000192;0.0;-25.944022133218734;0.0;-25.944022133218734
0.05600000000000002;-4551.0;2.0;-417.0;-1.0341985506372524;-0.000192;-0.14361608853287494;-232.60561552609437;0.0;-232.60561552609437
0.060000000000000026;-176400.0;-573.0;-3978.0;-42.96224487340605;-0.14380808853287494;-1.2722784621043775;-10482.011580692199;0.0;-10482.011580692199
0.06400000000000003;-509707.0;-6237.0;-170163.0;-83.32677021516176;-1.4160865506372524;-57.881806322768796;-10091.131335438928;0.0;-10091.131335438928
0.06800000000000003;-1138672.0;-243428.0;-266279.0;-157.24124471241478;-59.29789287340605;-49.5916613417557;-18478.618624313258;-83.33333333333333;-18395.285290979922
0.07200000000000004;-2071245.0;-678986.0;-459686.0;-233.1430969096083;-108.88955421516175;-92.48154649725302;-18975.463049298378;-416.6666666666667;-18558.79638263171
0.07600000000000004;-3305771.0;-1484470.0;-586775.0;-308.6315740118766;-201.37110071241477;-88.10239619719351;-18872.119275567075;-916.6666666666666;-17955.452608900407
0.08000000000000004;-4901802.0;-2642363.0;-663408.0;-399.0077497519301;-289.4734969096083;-82.84524510226828;-22594.043935013375;-1583.3333333333333;-21010.710601680043
0.08400000000000005;-6993803.0;-4131637.0;-770165.0;-523.0002541546153;-372.31874201187657;-100.6248477400535;-30998.1261006713;-2250.0;-28748.1261006713
0.08800000000000005;-9712137.0;-6023411.0;-970392.0;-679.5832512350898;-472.94358975193006;-143.21429640268525;-39145.74927011864;-3000.0;-36145.74927011864
0.09200000000000005;-13149443.0;-8488042.0;-1224095.0;-859.3264815450736;-616.1578861546153;-180.9384850804745;-44935.80757749595;-3833.3333333333335;-41102.474244162615
0.09600000000000006;-17376368.0;-11676427.0;-1473016.0;-1056.7313661070634;-797.0963712350898;-203.63964630998385;-49351.221140497444;-4916.666666666667;-44434.55447383078
0.10000000000000006;-22452508.0;-15679371.0;-1696997.0;-1269.0349062621494;-1000.7360175450737;-218.90706056198985;-53075.88503877151;-6250.0;-46825.88503877151
0.10400000000000006;-28409104.0;-20557943.0;-1894565.0;-1489.1489603286434;-1219.6430781070635;-231.27006815508594;-55028.51351662349;-7833.333333333333;-47195.180183290155
0.10800000000000007;-35252337.0;-26361595.0;-2047509.0;-1710.8079949138858;-1450.9131462621494;-234.796678066494;-55414.75864631059;-9500.0;-45914.75864631059
0.11200000000000007;-42978500.0;-33104434.0;-2147903.0;-1931.540738541921;-1685.7098243286434;-231.29685858524226;-55183.1859070088;-11333.333333333334;-43849.852573675475
0.11600000000000008;-51561957.0;-40772460.0;-2206040.0;-2145.864173528287;-1917.0066829138857;-226.3138956280352;-53580.85874659156;-13166.666666666666;-40414.19207992489
0.12000000000000008;-60950525.0;-49345742.0;-2216215.0;-2347.1418746849613;-2143.320578541921;-215.30023498636638;-50319.42528916852;-15000.0;-35319.42528916852
0.12400000000000008;-71080178.0;-58780225.0;-2170300.0;-2532.4130044904323;-2358.6208135282873;-196.86986115667423;-46317.78245136775;-16750.0;-29567.782451367748
0.12800000000000009;-81879819.0;-69002187.0;-2077991.0;-2699.910239362581;-2555.4906746849615;-176.40946580547097;-41874.30871803713;-18416.666666666668;-23457.642051370458
0.1320000000000001;-93266085.0;-79929787.0;-1950032.0;-2846.5663586588407;-2731.9001404904325;-155.2131708721481;-36664.029824064986;-19916.666666666668;-16747.363157398315
0.1360000000000001;-105147187.0;-91478240.0;-1787845.0;-2970.2754723606145;-2887.1133113625806;-131.0861672962601;-30927.278425443434;-21250.0;-9677.278425443434
0.1400000000000001;-117435384.0;-103551037.0;-1596150.0;-3072.0489376168894;-3018.1994786588407;-105.30639370177369;-25443.366314068728;-22416.666666666668;-3026.699647402058
0.1440000000000001;-130046548.0;-116045060.0;-1390324.0;-3152.7909273481323;-3123.5058723606144;-82.01416925627518;-20185.497432810735;-23500.0;3314.5025671892654
0.1480000000000001;-142900844.0;-128867140.0;-1179408.0;-3213.5737549276455;-3205.5200416168896;-60.49405373124273;-15195.706894878298;-24333.333333333332;9137.626438455034
0.1520000000000001;-155939630.0;-141931196.0;-969648.0;-3259.696404247106;-3266.0140953481323;-40.64586757951338;-11530.662329865096;-25000.0;13469.337670134904
