Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;266.07476194517415;-1.175665648134084e-07;609.3200912263815;0.0;1.5707962071622543;4.418550537458123e-10;4.4185550683400743e-10;-1.9198621800795581;1.9198621758248766;3.926990816987241e-09;-1.1537796064881383e-07;-4.106657063516069e-09;-11.094885193454047;-21.84914001273936;-10.54022269354101;-20.756672401940655;-0.11618432484239986;-0.23256790590860135;-0.11618341876968985;-0.23256792409469365;41761.396779885756
0.012;266.07476235980937;-1.1756658928328365e-07;609.3200870008775;0.0;1.5707962586357966;4.4185537756803286e-10;4.4185550683400743e-10;-1.919862178540467;1.9198621762159869;1.9634954084936207e-09;-6.58346197125727e-08;-2.395549953717707e-09;-11.09496873418393;-21.849181328547967;-10.54022269354101;-20.756672401940655;-0.1161843248401156;-0.23256790590828597;-0.11618417852164142;-0.23256832601513378;0.0
0.024;266.0747625123644;-1.1756659596005283e-07;609.3200847499136;0.0;1.5707962873321497;4.418554656928593e-10;4.4185550683400743e-10;-1.9198621779633076;1.9198621762159869;1.090830782496456e-09;-3.771542620821961e-08;-1.3688856878386898e-09;-11.094994538163936;-20.756678070632283;-10.54022269354101;-20.756672401940655;-0.11618432483994083;-0.2325679059094617;-0.11618440781150359;-0.23256783431198014;0.00018801062865847373
0.036000000000000004;266.0747625632159;-1.1756659765129448e-07;609.3200834974639;0.0;1.5707963035926464;4.418554879431607e-10;4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;8.726646259971648e-10;-2.1647315634303564e-08;-1.3688856878386898e-09;-11.09498930504142;-20.756684367067866;-10.831680958486531;-20.659682967391266;-0.11618432484019424;-0.23256790590921242;-0.11618432138724873;-0.2325678920679873;0.00018801062865847373
0.048;266.0747625632159;-1.1756659823554746e-07;609.3200828279594;0.0;1.5707963125193747;4.418554957332006e-10;4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;8.726646259971648e-10;-1.2720587537683537e-08;-1.3688856878386898e-09;-10.540240581457587;-20.756686218277252;-11.412951186856327;-20.464841713750353;-0.11760447830186863;-0.23214921095953042;-0.11618432065651979;-0.23256791280982916;5.5792042500594885e-05
0.06;266.0746991698843;-0.0003456457189084988;609.3200591114942;0.0;1.5707963184068496;1.2990551900853604e-06;1.299055190091982e-06;-1.91986243730015;1.9198624364998227;8.726646259971648e-10;-7.587718882127024e-09;-1.3688856878386898e-09;-10.013531286526346;-21.849464939443543;-11.99375932913003;-20.26688900943773;-0.14394449104703855;-0.22183097718929518;-0.1162032407584906;-0.23256247242513442;0.029341249772208807
0.072;266.064394748816;-0.08258014900818542;609.325050972795;-0.0002909433009883434;1.5707707921399525;1.9433239370290535e-05;0.0003103765403649734;-1.9199024707898675;1.9198769408214607;8.726646259971648e-10;-4.686532250725514e-09;-1.3688856878386898e-09;0.05712781586780913;-21.86833712508651;-12.284681622797757;-20.161275408836644;-0.213329242989396;-0.1889993649792372;-0.11696581187265082;-0.23228699442571724;6.91898213461306
0.08399999999999999;266.0219370522629;-0.33561862109631685;609.320247163696;-0.0012528293184978115;1.570739874565217;8.79010561915702e-06;0.0012616194241309774;-1.920072910694803;1.9200164613663122;8.726646259971648e-10;-2.9011866314015087e-09;-1.3688856878386898e-09;0.12869298363899634;-27.11845312988177;-12.2844905454136;-20.148866629510046;-0.2616548502988135;-0.16417829717034624;-0.12171029001562995;-0.23028899922355262;21.385060950978726
0.09599999999999999;265.9212452334067;-0.8693479188711342;609.2954025239271;-0.0032636548698318523;1.5707065399127158;5.526654322529779e-06;0.0032691815241766608;-1.9204774203764554;1.92038763550279;8.726646259971648e-10;-2.008513821739506e-09;-1.3688856878386898e-09;-0.25291493500469003;-27.009188803855725;-12.21117882977166;-20.15752625618284;-0.2766126276576261;-0.15688502704656357;-0.13251121534611032;-0.2253293843360289;45.30935768213182
0.10799999999999998;265.7304190531986;-1.8338115558793198;609.2319759123293;-0.006896085392251079;1.5706935339700023;4.827390049902236e-06;0.006900912782326487;-1.9212375974547977;1.921134805968914;8.726646259971648e-10;-1.3390092144930039e-09;-1.3688856878386898e-09;-0.7941703292444402;-26.874081094479116;-11.68229135025959;-20.316688979656966;-0.28001342027800125;-0.15519308677311885;-0.14666225140362263;-0.21866906932846997;82.10036440695076
