Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;9817499999.0;9817499967.0;32.0;-2.1573701379671205e-08;0.0025200803336511896;-0.0006000698306649918;-8.019171894417256e-06;-166.66666666666666;166.66665864749476
0.004;9817499999.0;9817499974.0;25.0;-2.6115533249075667e-08;0.0019200105029861978;-0.0004200320766875776;-1.1354579673511153e-06;-83.33333333333333;83.33333219787536
0.008;9817499999.0;9817499979.0;20.0;-1.703186951026674e-08;0.0014999784262986202;-0.0003000045418318695;2.2709159347022315e-06;-166.66666666666666;166.66666893758259
0.012;9817499999.0;9817499983.0;16.0;-7.664341279620033e-09;0.0011999738844667507;-0.00023999091633626103;2.3418820576616767e-06;-83.33333333333333;83.33333567521538
0.016;9817499999.0;9817499986.0;13.0;0.0;0.0009599829681304897;-0.0001799906324717694;1.916085319905008e-06;-83.33333333333333;83.33333524941865
0.02;9817499999.0;9817499989.0;10.0;2.270915934702232e-09;0.0007799923356587203;-0.00017999233565872035;5.67728983675558e-07;0.0;5.67728983675558e-07
0.024;9817499999.0;9817499991.0;8.0;3.1225094102155693e-09;0.0006;-0.00011999772908406531;2.1289836887833433e-07;0.0;2.1289836887833433e-07
0.028;9817499999.0;9817499992.0;7.0;1.4193224591888948e-09;0.00048000227091593464;-5.999914840652446e-05;-4.2579673775666865e-07;0.0;-4.2579673775666865e-07
0.032;9817499999.0;9817499993.0;6.0;8.515934755133369e-10;0.0004200031225094102;-6.000170318695101e-05;-1.4193224591888947e-07;0.0;-1.4193224591888947e-07
0.036000000000000004;9817499999.0;9817499994.0;5.0;0.0;0.00036000141932245917;-6.0000567728983665e-05;-2.1289836887833425e-07;0.0;-2.1289836887833425e-07
0.04000000000000001;9817499999.0;9817499995.0;4.0;0.0;0.0003000008515934755;-6.000085159347553e-05;0.0;0.0;0.0
0.04400000000000001;9817499999.0;9817499995.0;4.0;-8.515934755133369e-10;0.00023999999999999998;0.0;-2.1289836887833425e-07;0.0;-2.1289836887833425e-07
0.048000000000000015;9817499999.0;9817499995.0;4.0;0.0;0.00023999999999999998;-8.515934755059986e-10;2.1289836887833425e-07;0.0;2.1289836887833425e-07
0.05200000000000002;9817499999.0;9817499995.0;4.0;0.0;0.00023999914840652447;8.515934755059986e-10;0.0;0.0;0.0
0.05600000000000002;9817499999.0;9817499995.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.060000000000000026;9817499999.0;9817499995.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.06400000000000003;9817499999.0;9817499995.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.06800000000000003;9817498849.0;9817499995.0;4.0;-0.28750004231799514;0.00023999999999999998;0.0;-71.87501057949879;0.0;-71.87501057949879
