Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;383.2047662952342;-26.940000349021155;577.6500825643341;-0.029999341888522192;0.5030594725947951;-0.019228701859184495;-4.4185550683400743e-10;-1.9198621829653537;1.9198621795404236;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-3.00290614293251;-10.475359074014246;-2.727723503127501;-11.00329533515124;-0.031436918206539995;-0.12355278999328677;-0.03144626897566363;-0.1235482918308622;35989.569222653496
0.012;383.20476702506625;-26.940000349021155;577.6500819768216;-0.02999934191996294;0.5030594744987896;-0.019228701924399613;-4.4185550683400743e-10;-1.9198621798871716;1.919862178367093;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-3.001698245799321;-10.475841080021747;-2.727723503127501;-11.00329533515124;-0.0314369182366199;-0.12355278998053844;-0.03143333658811213;-0.12355403909983421;7.807695839471632e-05
0.024;383.2047673452236;-26.940000349021155;577.6500817529413;-0.02999934193250784;0.5030594752584865;-0.01922870195042055;-4.4185550683400743e-10;-1.919862178540467;1.9198621777804274;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-3.002034863874075;-10.475743527881809;-2.727723503127501;-11.00329533515124;-0.03143691822904059;-0.1235527899834954;-0.03143674651063922;-0.12355290695781297;0.0
0.036000000000000004;383.2047674794998;-26.940000349021155;577.6500815433142;-0.02999934194203421;0.5030594758353862;-0.019228701970180364;-4.4185550683400743e-10;-1.9198621779633076;1.9198621777804274;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-3.0020798039536096;-11.02707953124561;-2.727723503127501;-11.00329533515124;-0.03143691822910135;-0.12355278998376398;-0.03143716476116588;-0.12355269264623825;2.074542196867194e-05
0.048;383.20476752425844;-26.940000349021155;577.6500814734386;-0.029999341945209666;0.503059476027686;-0.019228701976766963;-4.4185550683400743e-10;-1.9198621777709213;1.9198621777804274;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-3.002055141830322;-11.027087387534845;-3.167951465129794;-11.41983611629384;-0.03143691822933452;-0.12355278998365926;-0.03143688577685135;-0.12355279986033439;2.074542196867194e-05
0.06;383.20476752425844;-26.940000349021155;577.6500814734386;-0.029999341945209666;0.503059476027686;-0.019228701976766963;-4.4185550683400743e-10;-1.9198621777709213;1.9198621777804274;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.8519553882673976;-11.0270868863498;-3.79972105340965;-12.203336617696452;-0.03214122848851081;-0.12462677607344165;-0.03143690891500536;-0.12355279424481568;0.0
0.072;383.20476184372114;-26.940174834452804;577.6503366429615;-0.029999787962010697;0.50305891190961;-0.01922868265474985;4.548902442856106e-07;-1.9198621777709213;1.9198616134084143;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.8528432772743604;-10.475292568923047;-4.4339251302467115;-12.983440189912127;-0.03850772372081288;-0.14872644349388225;-0.03144668515514066;-0.12356681807482676;0.025764547956952422
0.08399999999999999;383.1989612405484;-26.970789748339104;577.682974996657;-0.0300784291720453;0.5029831107193934;-0.01922608644238283;8.034766814595617e-05;-1.91988072208661;1.9198043224134966;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.6363233262551335;-5.783090236497424;-4.756515911060193;-13.366977879772158;-0.04550223037927708;-0.1997810931005313;-0.03169106897813587;-0.1242304968648165;3.7603394922690137
0.09599999999999999;383.1859599678296;-27.098093169202247;577.8254731626013;-0.03040534853275284;0.5026618581267231;-0.019215085853456732;0.0004125682192022823;-1.9199123863839647;1.9195145895443513;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;7.969233974608972;-5.617187769639392;-4.766796193849625;-13.355482857559352;-0.051687880132784914;-0.22307925419300673;-0.03257921452419699;-0.12833081407515778;15.960219800501578
0.10799999999999998;383.1696033397634;-27.35396478118872;578.2007226021981;-0.031059339853845024;0.5018261527466346;-0.019186487155617885;0.0010803267724602444;-1.9199435956875268;1.9187097176131587;8.726646259971648e-10;-1.1158410120775033e-09;-1.3688856878386898e-09;7.749588874400779;-5.44444667772858;-4.782093923783465;-13.342630076049906;-0.05342520524282112;-0.23618269269829054;-0.03410918543055982;-0.1362263472654522;37.87313979931042
