Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;5493.0;-5493.0;0.0;-2.1770255774389233;1.8474455774389233;0.0;0.0;0.0
0.004;0.0;10986.0;-10986.0;0.0;2.644872630316216;-3.304032630316216;0.0;-83.33333333333333;83.33333333333333
0.008;0.0;10986.0;-10986.0;0.0;0.34374487031704043;-1.0029048703170405;0.0;83.33333333333333;-83.33333333333333
0.012;0.0;10986.0;-10986.0;0.0;0.03831042197820726;-0.6974704219782073;0.0;0.0;0.0
0.016;0.0;10986.0;-10986.0;0.0;0.0042697027908944135;-0.6634297027908945;0.0;83.33333333333333;-83.33333333333333
0.02;0.0;5493.0;-5493.0;0.0;-1.1853561720203236;0.8557761720203236;0.0;-83.33333333333333;83.33333333333333
0.024;0.0;5493.0;-5493.0;0.0;-0.13210813910528296;-0.19747186089471708;0.0;0.0;0.0
0.028;0.0;10986.0;-10986.0;0.0;0.7238494398187505;-1.3830094398187507;0.0;0.0;0.0
0.032;0.0;10986.0;-10986.0;0.0;0.1048259931748738;-0.7639859931748739;0.0;0.0;0.0
0.036000000000000004;0.0;10986.0;-10986.0;0.0;0.011682874072012028;-0.6708428740720122;0.0;0.0;0.0
0.04000000000000001;0.0;10986.0;-10986.0;0.0;0.0013020582247648704;-0.660462058224765;0.0;0.0;0.0
0.04400000000000001;0.0;10986.0;-10986.0;0.0;0.2569752505930241;-0.9161352505930243;0.0;0.0;0.0
0.048000000000000015;-1133.0;10986.0;-10986.0;-0.28339484848665475;0.636928710696255;-1.296088710696255;-70.84871212166368;0.0;-70.84871212166368
0.05200000000000002;-12430.0;10986.0;-11435.0;-2.8242203546736544;0.5082145057952245;-1.3066761351756755;-635.2063765467499;0.0;-635.2063765467499
0.05600000000000002;-67956.0;10986.0;-16591.0;-13.881615734774986;1.528316025816645;-3.8129079704175592;-2764.348845025333;0.0;-2764.348845025333
