Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;383.1994379267154;-26.949053634773417;577.6499309442931;-0.030243156261151784;0.503177119252028;-0.019746442447730776;-6.068001675351424e-06;-1.9198633186221632;1.9198553738318938;0.000411058854598922;0.00010420147390364316;1.1279275846368843e-05;-2.625171708252608;-10.880021886527489;-2.843616010693778;-11.016228389151967;-0.031468632831570385;-0.12359508324379587;-0.03052579330341409;-0.11573518596655404;0.0
0.012;383.19954191477996;-26.94829418675226;577.6495059064698;-0.030229924303404328;0.5031752415711597;-0.0197190056475628;-6.068001675351424e-06;-1.9198633186221632;1.9198564480160485;0.0003870904661474404;0.0001005236619278357;1.1279275846368843e-05;-2.7675560136498443;-10.838053207996587;-2.843616010693778;-11.016228389151967;-0.031468757491632714;-0.12359491245704694;-0.03038685340555926;-0.11543187281929283;0.07304070175806408
0.024;383.20003488986794;-26.94616838246487;577.6457079994943;-0.030193068125587013;0.5031813779699611;-0.019642575703307266;-6.068001675351424e-06;-1.9198612048729906;1.919859670764068;0.00031997884758359793;9.929779899196736e-05;1.1279275846368843e-05;-2.9481698776486978;-10.86307131116564;-3.956707654045224;-12.559124310353479;-0.03146880037329393;-0.1235949565542079;-0.03074702615718521;-0.11555475967644023;0.07304070175806408
0.036000000000000004;383.19981378392134;-26.94244781108836;577.6461811969962;-0.030128238405312577;0.5031722342517101;-0.019508138078008334;-6.068001675351424e-06;-1.9198633186221632;1.9198564480160485;0.00020253346055533448;9.194239820855487e-05;1.1279275846368843e-05;-2.55581182786125;-9.77713940325233;-6.247177316008745;-15.516074516225103;-0.033889761246983764;-0.12498017692963384;-0.029900574095592183;-0.11552856641860794;0.3130878342066235
0.048;383.2002413185887;-26.93993691630662;577.6443537251223;-0.030084563671605297;0.5031706240473212;-0.019417567721655836;-6.068001675351424e-06;-1.9198622616513839;1.9198575222002032;0.00012703269877562478;8.581286036101073e-05;7.519631304719882e-06;-3.0217940297258634;-10.861479488542743;-8.945395687154429;-18.292170825136896;-0.05554968729123624;-0.14284131299141334;-0.03146106187508979;-0.11547041118533129;0.26123414060996014
0.06;383.2072929416184;-26.93860258235901;577.7339336181445;-0.030054851753367078;0.502772631775941;-0.019356006470076344;-6.068001675351424e-06;-1.9198802274612237;1.9198156278448373;8.508807352707105e-05;-0.00025376121544362954;7.519631304719882e-06;-5.009360222877026;-7.184841672334856;-10.483890786549484;-18.72838375964715;-0.07954795815779436;-0.17320349379565594;-0.059251108998299905;-0.1402925084468651;7.488909822712247
0.072;383.42745952703876;-26.933935263169452;579.2674077511035;-0.02990224041086644;0.49496606245375135;-0.019058504631266945;-1.5776671799261653e-05;-1.9199542042573696;1.9197393584231883;5.992108021178232e-05;-0.007914407449092395;5.639466812473442e-06;1.5536344017178343;-10.62618783489024;-8.970267029190998;-15.676148257566537;-0.10311436649259721;-0.20131543362454105;-0.10230823600924534;-0.18064514281489077;129.10046647471682
0.08399999999999999;384.1897574934539;-26.924292405261646;584.7989872616927;-0.02942643901913122;0.4664240051693174;-0.018082784474312472;-3.883490142339433e-05;-1.9200228967767778;1.919680276534681;4.434161681001144e-05;-0.03634179222395364;3.759644541648961e-06;-2.1939519149333115;-15.127842851564038;-6.673074087608461;-12.568554001229064;-0.10784567806730767;-0.20743282678306438;-0.1405479616712885;-0.23202912750037594;465.3221891143458
0.09599999999999999;385.3233482787794;-26.927492494718305;596.6137150777715;-0.02860737699702545;0.40550558796455516;-0.0161263956621549;-2.9126231299484105e-05;-1.9200440331141828;1.9196770539822166;3.71510784579513e-05;-0.09726164444934948;7.519631304719882e-06;-16.128465308139123;-22.186933564589133;-4.423361246601413;-10.25866790659916;-0.08581644050336942;-0.18035173854782288;-0.1845049342009206;-0.25985421073498666;989.0821686323945
0.10799999999999998;385.6682397889103;-26.922697596648568;615.0051612171496;-0.027582644628872638;0.3109588832636128;-0.013248015395012212;-3.883490142339433e-05;-1.920027124082736;1.9197243194539115;1.5579463401770886e-05;-0.1919108966503245;-7.519631304719882e-06;-16.465953779127823;-26.581635652341763;-3.8768810531990714;-9.773193253116;-0.06175827546130743;-0.1454728143602961;-0.17022631389686352;-0.22713556408534194;1532.8900137215771
