Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;383.1997644429242;-26.924293882546355;577.6206044127641;-0.029772187888938994;0.5032131540605924;-0.01875468644896127;1.2135561495196013e-06;-1.9198612048729906;1.9198693386170158;-0.00044341638626627084;9.807193605609902e-05;-3.759644541648961e-06;0.9533117584988515;-11.145279459478774;-2.866142703164187;-11.045552363915576;-0.031468938308179664;-0.1235948293381612;0.010448433822753936;-0.1314158514766528;6901.436887833734
0.012;383.1994518678004;-26.926559025193896;577.6256262847419;-0.02979758124453139;0.5031993654690651;-0.018802306635384007;3.640668448558804e-06;-1.9198633186221632;1.9198650416848417;-0.00040506670294451243;9.194239820855487e-05;0.0;1.0800362212196346;-11.015412245913376;-2.866142703164187;-11.045552363915576;-0.031468814033727026;-0.12359500054860449;0.011184339303815264;-0.13002901650946144;0.0
0.024;383.199548491652;-26.929414788548854;577.6296545181501;-0.02985396417134507;0.5031928683854497;-0.018921743820718442;2.4271122990392027e-06;-1.9198633186221632;1.9198628933165323;-0.0002984072325274175;9.071653527268653e-05;-1.8798222708244806e-06;1.0601844831738962;-11.004439437201997;-2.866142703164187;-11.045552363915576;-0.031468771007831964;-0.1235949564766191;0.011806053305460805;-0.12972105479095386;0.4115636213424918
0.036000000000000004;383.20019556824303;-26.932643019418492;577.6325721833872;-0.029909966684970944;0.5031870364512697;-0.01903787560551493;2.4271122990392027e-06;-1.9198612048729906;1.9198628933165323;-0.00019654130890092494;8.581286036101073e-05;-1.8798222708244806e-06;0.8907622686452836;-11.622799626478123;-3.9567077013706524;-12.55912437194324;-0.03146878656423466;-0.12359495373602757;0.010461151242484675;-0.13015717872670995;0.4115636213424918
0.048;383.20018301315446;-26.935149234352526;577.6342168053832;-0.029953502823332402;0.503185743221578;-0.019128158809685426;2.4271122990392027e-06;-1.9198612048729906;1.919863967500687;-0.00011744538702826343;8.581286036101073e-05;-1.8798222708244806e-06;0.9386028709913653;-12.311777514906062;-6.247177316019052;-15.516074516235111;-0.033889762681880056;-0.12498017456093041;0.010226435166378499;-0.13101316542949987;0.2498062065445825
0.06;383.20011761209463;-26.936494699080804;577.6376577403662;-0.029976731870205237;0.5031763661834547;-0.01917632919938077;2.4271122990392027e-06;-1.9198622616513839;1.9198618191323775;-7.310377021825199e-05;8.090940861753736e-05;-3.759644541648961e-06;0.9274373060376734;-11.072536182566465;-8.94539568715273;-18.29217082513637;-0.05554968716932675;-0.1428413127943103;0.009649144403105197;-0.13069987741446873;0.3079342682570168
0.072;383.2054410120091;-26.937878903294795;577.725055898047;-0.029987811361874096;0.5028081255751559;-0.019196755681539262;3.640668448558804e-06;-1.919882341210396;1.9198134794765278;-4.793699506911976e-05;-0.0002182100744624355;0.0;-0.7634827067112167;-8.298299558435303;-10.483890739243154;-18.728383698075632;-0.07954795965241764;-0.17320349494606224;-0.009991691593104434;-0.15353884201261145;7.297589233132754
0.08399999999999999;383.4275690739432;-26.934159653497105;579.2501161181372;-0.029857777321928482;0.49504562903957927;-0.018947158932461187;-7.281557824871026e-06;-1.9199436360886668;1.9197318389385498;-3.475430506265009e-05;-0.00784085344125827;0.0;5.621917034503656;-11.282793984245373;-8.970267029190978;-15.676148257566537;-0.10311436611588111;-0.20131543404471805;-0.05883300641446552;-0.18836130542965238;128.4297079233424
0.09599999999999999;384.19473601053846;-26.92566293970848;584.8116084539172;-0.029396200308242405;0.46636680797701274;-0.017997312753339646;-3.0339787449003707e-05;-1.9200070447161102;1.9196577180807657;-2.2770001753831022e-05;-0.03639450589237339;-3.759644541648961e-06;0.7575199278953211;-15.440810768822784;-6.673074087608443;-12.568554001229062;-0.10784567754942304;-0.20743282624418447;-0.1075631601251026;-0.2360565858864486;467.84682437905445
0.10799999999999998;385.32356826535;-26.929779051229534;596.6247867118855;-0.02858954611107603;0.4054763735212244;-0.016062953013041326;-2.0631117325093474e-05;-1.9200419193650107;1.9196501985961274;-7.190538352060139e-06;-0.09726777376402881;-5.639466812473442e-06;-2.6755541163386702;-22.26127569504775;-4.423361246601395;-10.258667906599158;-0.08581644058951508;-0.1803517383923457;-0.14472568791018336;-0.26038539575410397;988.9158531646209
