Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;-50.0;444946.0;-444912.0;-0.007063319309128019;2.9979425773979105;-22.16277167639053;3.9769139288402995;0.0;3.9769139288402995
0.004;-41.0;444946.0;-444978.0;0.0020279108617039885;2.765951215361457;-21.916772089179513;2.272807542708002;0.0;2.272807542708002
0.008;-22.0;433960.0;-434005.0;0.004869883053427149;-0.6107615886834004;-18.05500540883367;0.7104930479307902;0.0;0.7104930479307902
0.012;-6.0;439453.0;-439486.0;0.004113087492684202;1.0063888134005017;-19.90118537389738;-0.18919889018573677;0.0;-0.18919889018573677
0.016;2.0;428467.0;-428482.0;0.002214845621019352;0.16769863915854422;-18.587871465900836;-0.4745604679162126;-83.33333333333333;82.85877286541712
0.02;5.0;422974.0;-422976.0;0.0005998056684716206;-0.8683113134871162;-17.316291787913297;-0.4037599881369328;83.33333333333333;-83.73709332147025
0.024;4.0;417480.0;-417477.0;-0.00027419867100129497;-2.5026599640028526;-15.447265405971347;-0.2185010848682289;-83.33333333333333;83.1148322484651
0.028;2.0;422974.0;-422970.0;-0.0005132954862830064;2.3432271359560595;-20.530674396227152;-0.05977420382042785;83.33333333333333;-83.39310753715375
0.032;0.0;411987.0;-411985.0;-0.00040706230202612256;-2.9991707816834876;-14.716548094019712;0.02655829606422095;0.0;0.02655829606422095
0.036000000000000004;0.0;411987.0;-411987.0;-0.00020529072449979675;-0.7589936142692475;-16.956917160461476;0.050442894381581456;0.0;0.050442894381581456
0.04000000000000001;0.0;406494.0;-406494.0;-4.453799868335058e-05;-3.0651338242199784;-14.4144358612643;0.04018818145411154;0.0;0.04018818145411154
0.04400000000000001;0.0;411987.0;-411987.0;3.696458026721455e-05;2.812289458620465;-20.52787319565628;0.020375644737641283;-83.33333333333333;83.35370897807097
0.048000000000000015;0.0;395508.0;-395508.0;5.499060653417617e-05;-1.9152156780446878;-15.091641487365418;0.004506506566740405;0.0;0.004506506566740405
0.05200000000000002;0.0;395508.0;-395508.0;4.0482315041420295e-05;-0.5067264782587765;-16.500073887677367;-0.0036270728731889685;0.0;-0.0036270728731889685
0.05600000000000002;0.0;390015.0;-390015.0;1.7947061581571e-05;-1.5063472149151942;-15.264248652410405;-0.005633813364962324;0.0;-0.005633813364962324
0.060000000000000026;0.0;384521.0;-384521.0;-6.214249146916094e-07;-2.8806086831957822;-13.653762684355538;-0.004642121624065652;83.33333333333333;-83.33797545495739
0.06400000000000003;0.0;390015.0;-390015.0;-1.2577200450879282e-05;-0.8622389221027474;-15.908395360907932;-0.002988943884046918;0.0;-0.002988943884046918
0.06800000000000003;0.0;379028.0;-379028.0;-1.8743094010918384e-05;-2.4764403125567904;-13.82176894034659;-0.0015414733900097754;-83.33333333333333;83.33179185994332
0.07200000000000004;0.0;379028.0;-379028.0;-1.9678008487239737e-05;0.7423782248154389;-17.040597176642972;-0.00023372861908033826;-83.33333333333333;83.33309960471425
0.07600000000000004;0.0;373535.0;-373535.0;-1.554959602323252e-05;-0.6564432143567328;-15.405580863287978;0.0010321031160018038;0.0;0.0010321031160018038
0.08000000000000004;0.0;373535.0;-373535.0;-7.580734031268258e-06;0.8948189623941947;-16.95684199807363;0.001992215497991066;166.66666666666666;-166.66467445116868
0.08400000000000005;0.0;368042.0;-368042.0;1.6195976801882926e-06;-0.3150804991275297;-15.510737915129146;0.0023000829278641377;83.33333333333333;-83.33103325040547
0.08800000000000005;0.0;362549.0;-362549.0;9.220158991196778e-06;0.9379232399899395;-16.527534219628755;0.0019001403277521213;-83.33333333333333;83.33523347366108
0.09200000000000005;0.0;357056.0;-357056.0;1.343274206155958e-05;0.6604862738398063;-16.01388969464652;0.0010531457675907008;-83.33333333333333;83.33438647910091
0.09600000000000006;0.0;340576.0;-340576.0;1.3954743035129886e-05;-1.7640946575957914;-12.88066249655639;0.00013050024339257647;-166.66666666666666;166.66679716691004
0.10000000000000006;0.0;335083.0;-335083.0;1.1687389398886754e-05;0.48886021994987594;-14.89741560492569;-0.0005668384090607832;-83.33333333333333;83.33276649492427
0.10400000000000006;0.0;324097.0;-324097.0;8.114513219481675e-06;-1.3282453053334276;-12.607912641952424;-0.0008932190448512696;0.0;-0.0008932190448512696
0.10800000000000007;0.0;307617.0;-307617.0;4.616705999527131e-06;-2.506799130781522;-10.720721585133385;-0.000874451804988636;-83.33333333333333;83.33245888152834
0.11200000000000007;0.0;296631.0;-296631.0;2.0098689833009833e-06;-5.030915625169568;-7.724210626208297;-0.000651709254056537;0.0;-0.000651709254056537
0.11600000000000008;0.0;285645.0;-285645.0;4.86124710887873e-07;-4.109948129437938;-8.172783266931244;-0.0003809360681032776;-83.33333333333333;83.33295239726523
0.12000000000000008;0.0;258179.0;-258179.0;-1.6649284535961949e-07;-8.153979649279103;-2.947715929718271;-0.00016315438906187312;-83.33333333333333;83.33317017894427
0.12400000000000008;0.0;258179.0;-258179.0;-2.958830569473934e-07;-0.6525974750606001;-10.449099288639163;-3.234755289694347e-05;-166.66666666666666;166.66663431911377
0.12800000000000009;0.0;236206.0;-236206.0;-2.0402235863889337e-07;-3.9485077554295933;-6.2083504585405205;2.2965174577125e-05;-83.33333333333333;83.33335629850791
0.1320000000000001;0.0;214233.0;-214233.0;-7.696656769827924e-08;-6.571011581085431;-2.6410076776181484;3.176394773515353e-05;-83.33333333333333;83.33336509728106
0.1360000000000001;0.0;197754.0;-197754.0;7.281762172261538e-09;-7.675912981377006;-0.8275091728079618;2.1062082467635195e-05;166.66666666666666;-166.66664560458418
0.1400000000000001;0.0;197754.0;-197754.0;3.880993418897706e-08;-0.5662349436531636;-7.9371871006547225;7.88204300417888e-06;0.0;7.88204300417888e-06
0.1440000000000001;0.0;181274.0;-181274.0;3.6123405095084046e-08;-5.594081912098187;-2.2007000686132665;-6.716322734732537e-07;333.3333333333333;-333.3333340049656
0.1480000000000001;0.0;170288.0;-170288.0;2.0664787184978653e-08;-3.074305759657403;-4.248078202782565;-3.864654477526348e-06;-166.66666666666666;166.66666280201218
0.1520000000000001;0.0;186768.0;-186768.0;6.189943543819331e-09;4.30230099796195;-12.333324967951905;-3.6187109102898307e-06;250.0;-250.0000036187109
0.1560000000000001;0.0;181274.0;-181274.0;-2.1610599629013143e-09;2.8603569753844615;-10.655138960368147;-2.0877508766801614e-06;83.33333333333333;-83.3333354210842
0.16000000000000011;0.0;181274.0;-181274.0;-4.744304974201479e-09;2.8481025463068774;-10.642884543343163;-6.458112528250412e-07;333.3333333333333;-333.3333339791446
0.16400000000000012;0.0;192261.0;-192261.0;-3.976338463903353e-09;4.068021849657499;-12.335244852793842;1.919916275745314e-07;166.66666666666666;-166.66666647467503
