Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;0.0;0.0;0.0;1.0640658909798617;-1.0640658909798617;0.0;0.0;0.0
0.004;0.0;-5493.0;5493.0;0.0;-1.0099016863653472;1.3394816863653471;0.0;0.0;0.0
0.008;0.0;0.0;0.0;0.0;1.9642257353480752;-1.9642257353480752;0.0;0.0;0.0
0.012;0.0;-5493.0;5493.0;0.0;-0.9928600017719544;1.3224400017719544;0.0;0.0;0.0
0.016;0.0;0.0;0.0;0.0;1.3589704031318124;-1.3589704031318124;0.0;0.0;0.0
0.02;0.0;5493.0;-5493.0;0.0;2.2312085954883196;-2.5607885954883196;0.0;83.33333333333333;-83.33333333333333
0.024;0.0;-5493.0;5493.0;0.0;-3.025079014026652;3.354659014026652;0.0;0.0;0.0
0.028;0.0;-5493.0;5493.0;0.0;-3.383184671733576;3.712764671733576;0.0;0.0;0.0
0.032;0.0;-5493.0;5493.0;0.0;-3.2310350101585565;3.5606150101585565;0.0;-83.33333333333333;83.33333333333333
0.036000000000000004;-142.0;5493.0;-5493.0;-0.03560459622590157;3.033685786980932;-3.363265786980932;-8.901149056475393;0.0;-8.901149056475393
0.04000000000000001;-1561.0;-5493.0;5437.0;-0.3548237588583547;-0.9859161603375238;1.29801949425577;-79.80479065811329;0.0;-79.80479065811329
0.04400000000000001;-8537.0;0.0;-704.0;-1.7440307254669931;0.19175404938019958;-0.39595543510944153;-347.3017416521596;0.0;-347.3017416521596
0.048000000000000015;-31596.0;-5493.0;1175.0;-5.764616215039034;-2.375994729241156;1.5427425392623788;-1005.1463723930102;0.0;-1005.1463723930102
0.05200000000000002;-90091.0;-5493.0;-12146.0;-14.623873039503987;-2.299319665444064;-1.7594305004199962;-2214.8142061162384;0.0;-2214.8142061162384
0.05600000000000002;-212434.0;-5493.0;-49160.0;-30.585625271461744;-2.980331252223085;-9.22288374972546;-3990.438057989439;0.0;-3990.438057989439
0.060000000000000026;-433404.0;0.0;-138255.0;-55.242509092150776;0.8928663928079138;-30.088715081948674;-6164.220955172258;0.0;-6164.220955172258
0.06400000000000003;-790684.0;-5493.0;-293835.0;-89.32003266239921;-2.7914945294930753;-55.10677402107804;-8519.380892562109;0.0;-8519.380892562109
0.06800000000000003;-1323099.0;0.0;-573765.0;-133.10377133288532;0.11180812126035185;-103.146948919072;-10945.934667621525;0.0;-10945.934667621525
0.07200000000000004;-2070171.0;-32959.0;-966726.0;-186.76802839236362;-9.834049631510837;-154.6494383031499;-13416.064264869576;-250.0;-13166.064264869576
0.07600000000000004;-3070878.0;-87891.0;-1528290.0;-250.17663402198758;-18.571033457588097;-227.25063195159143;-15852.15140740599;-750.0;-15102.15140740599
0.08000000000000004;-4361159.0;-258179.0;-2204379.0;-322.57023354978253;-50.19234570205687;-293.66450505678176;-18098.399881948735;-2166.6666666666665;-15931.73321528207
0.08400000000000005;-5971615.0;-1010742.0;-2565849.0;-402.6139541311334;-215.57503471669557;-216.88393556945894;-20010.930145337723;-8083.333333333333;-11927.59681200439
0.08800000000000005;-7926108.0;-2515869.0;-2476250.0;-488.623305547355;-370.8641670732509;-131.59296975667002;-21502.337854055397;-24166.666666666668;2664.32881261127
0.09200000000000005;-10240987.0;-4180298.0;-2556807.0;-578.7196219767654;-421.36857983322966;-168.28615206303834;-22524.079107352605;-31166.666666666668;8642.587559314063
