Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;9817499999.0;9817492676.0;7323.0;0.0;-5.327944467142224;5.767324467147722;0.0;83.33333333333333;-83.33333333333333
0.004;9817499999.0;9817503662.0;-3663.0;0.0;-0.3971640212982893;0.17738402124795322;0.0;0.0;0.0
0.008;9817499999.0;9817509155.0;-9156.0;0.0;4.619214111223817;-5.168574111199879;0.0;0.0;0.0
0.012;9817499999.0;9817503662.0;-3663.0;0.0;2.4853735878914596;-2.705153587941796;0.0;-83.33333333333333;83.33333333333333
0.016;9817499999.0;9817503662.0;-3663.0;0.0;2.637090918496251;-2.8568709185465875;0.0;0.0;0.0
0.02;9817499999.0;9817503662.0;-3663.0;0.0;0.198610624037683;-0.4183906240880191;0.0;0.0;0.0
0.024;9817499999.0;9817487183.0;12816.0;0.0;-6.250456816881895;7.019416816881247;0.0;0.0;0.0
0.028;9817499999.0;9817503662.0;-3663.0;0.0;2.769032027386129;-2.9888120274364653;0.0;0.0;0.0
0.032;9817499999.0;9817492676.0;7323.0;0.0;-4.311874807327986;4.751254807333484;0.0;83.33333333333333;-83.33333333333333
0.036000000000000004;9817499916.0;9817492676.0;7323.0;-0.020769347781296032;-4.051761163152754;4.491141163158252;-5.192336945324008;0.0;-5.192336945324008
0.04000000000000001;9817499089.0;9817503662.0;-3697.0;-0.20698052659390548;-0.17429302705824376;-0.055761694900336584;-46.55279470315236;0.0;-46.55279470315236
0.04400000000000001;9817495019.0;9817498169.0;1419.0;-1.0173512562400007;0.20772074764966966;-0.21705822289821142;-202.5926824115238;-83.33333333333333;-119.25934907819047
0.048000000000000015;9817481568.0;9817492676.0;4803.0;-3.36269279232127;-2.7394185104295614;2.5004097327403225;-586.3353840203173;0.0;-586.3353840203173
0.05200000000000002;9817447446.0;9817498169.0;-8460.0;-8.530592605719125;0.32195577897876504;-2.77205004228842;-1291.9749533494637;0.0;-1291.9749533494637
0.05600000000000002;9817376079.0;9817492676.0;-24559.0;-17.84161474138256;-0.8474262060672045;-6.024055878267851;-2327.755533915859;-83.33333333333333;-2244.4222005825254
0.060000000000000026;9817247180.0;9817481689.0;-62340.0;-32.224796969272894;-1.914213588669896;-14.018173146196894;-3595.7955569725837;-166.66666666666666;-3429.1288903059167
0.06400000000000003;9817038767.0;9817421265.0;-95875.0;-52.10335238564963;-16.263680161133408;-12.978584826025607;-4969.638854094183;-500.0;-4469.638854094183
0.06800000000000003;9816668894.0;9817322388.0;-157086.0;-92.46828135525213;-28.9373826649338;-20.509834466123465;-10091.232242400625;-1416.6666666666667;-8674.56557573396
0.07200000000000004;9816222290.0;9817124634.0;-231296.0;-111.65082160901851;-51.67916842362285;-30.18953168590391;-4795.635063441594;-2916.6666666666665;-1878.9683967749274
0.07600000000000004;9815632119.0;9816734619.0;-240630.0;-147.54279323996965;-98.96143262842298;-15.313712954676404;-8972.992907737787;-5500.0;-3472.992907737787
0.08000000000000004;9814876550.0;9816234741.0;-243829.0;-188.89237098590445;-114.87901921956987;-25.519750632321006;-10337.394436483699;-8500.0;-1837.3944364836987
0.08400000000000005;9813936227.0;9815614014.0;-278009.0;-235.0806097365402;-158.87536165611445;-21.532128551690846;-11547.059687658937;-7916.666666666667;-3630.39302099227
0.08800000000000005;9812795994.0;9814746094.0;-237941.0;-285.05841510274644;-215.95572025545687;-5.283743021783067;-12494.45134155156;-9666.666666666666;-2827.7846748848942
0.09200000000000005;9811445637.0;9813784790.0;-295139.0;-337.58904874206655;-245.57606402202697;-26.757670427635446;-13132.658409830028;-8916.666666666666;-4215.991743163363
0.09600000000000006;9809879661.0;9812548828.0;-281549.0;-391.494085782182;-313.79742177084836;-8.68867007551978;-13476.259260028868;-11750.0;-1726.2592600288685
0.10000000000000006;9808096097.0;9811208496.0;-375833.0;-445.8909522331106;-334.20998123327644;-46.99375574754066;-13599.216612732149;-11666.666666666666;-1932.5499460654837
0.10400000000000006;9806094987.0;9809664917.0;-483237.0;-500.2773481620038;-388.7483786201924;-52.991584932310786;-13596.598982223299;-10833.333333333334;-2763.2656488899647
0.10800000000000007;9803877123.0;9807863159.0;-550021.0;-554.4661951508144;-447.2111274189502;-52.925709373264056;-13547.211747202653;-12416.666666666666;-1130.5450805359865
0.11200000000000007;9801443288.0;9805874634.0;-647271.0;-608.4585334141598;-499.9925449235365;-60.28742408020895;-13498.084565836336;-12000.0;-1498.0845658363364
0.11600000000000008;9798793977.0;9803540039.0;-614899.0;-662.3278872118398;-586.370615022175;-26.079125844509804;-13467.338449419998;-15083.333333333334;1615.994883913336
0.12000000000000008;9795929382.0;9801029663.0;-622526.0;-716.1485225140364;-627.3735120030567;-39.478577126303776;-13455.158825549148;-15750.0;2294.841174450852
0.12400000000000008;9792849514.0;9798272095.0;-598363.0;-769.967027348217;-688.4835707349107;-30.769496681892633;-13454.626208545164;-15416.666666666666;1962.0404581215016
0.12800000000000009;9789554308.0;9795311279.0;-586233.0;-823.8016041331873;-733.8037554983944;-38.54158798324613;-13458.644196242574;-15166.666666666666;1708.0224704240923
0.1320000000000001;9786043697.0;9792185669.0;-624608.0;-877.6525850344019;-787.9852528535203;-40.48748022296536;-13462.74522530365;-11916.666666666666;-1546.0785586369834
0.1360000000000001;9782317643.0;9788741455.0;-559743.0;-931.5133741541033;-863.5544788260535;-14.867340839535245;-13465.197279925349;-13750.0;284.80272007465146
0.1400000000000001;9778376134.0;9785137939.0;-550995.0;-985.3773665202375;-905.0924218464494;-26.659291407885462;-13465.998091533549;-13583.333333333334;117.3352417997844
0.1440000000000001;9774219171.0;9781309204.0;-532476.0;-1039.2406230579456;-961.3985645885617;-23.10401035262521;-13465.814134427035;-14500.0;1034.1858655729652
0.1480000000000001;9769846763.0;9777299194.0;-548137.0;-1093.1018489741339;-1000.488529140696;-38.817387653094215;-13465.306479047058;-13583.333333333334;118.02685428627592
0.1520000000000001;9765258918.0;9772998047.0;-488111.0;-1146.9613288032142;-1078.9213339910657;-10.645478542191086;-13464.869957270083;-12583.333333333334;-881.5366239367481
0.1560000000000001;9760455638.0;9768570557.0;-517184.0;-1200.8198739323796;-1106.5312410881743;-38.64049696314282;-13464.636282291338;-14083.333333333334;618.6970510419965
0.16000000000000011;9755436925.0;9763862915.0;-481541.0;-1254.678192401993;-1178.408703557752;-18.483573959864998;-13464.579617403388;-12666.666666666666;-797.9129507367215
0.16400000000000012;9750202778.0;9759012451.0;-518511.0;-1308.5366760730767;-1215.8072571809219;-37.16168107553676;-13464.6209177709;-13583.333333333334;118.71241556243285
0.16800000000000012;9744753212.0;9753804932.0;-413859.0;-1362.3914126897207;-1306.5616420102044;6.013438456247513;-13463.684154161001;-13083.333333333334;-380.3508208276671
0.17200000000000013;9739088372.0;9748536987.0;-464209.0;-1416.2098965954235;-1322.1594702865855;-35.266730322008925;-13454.620976425702;-14750.0;1295.3790235742986
0.17600000000000013;9733208762.0;9742983398.0;-444276.0;-1469.9025899304975;-1399.545335924171;-10.525269623037502;-13423.17333376849;-12500.0;-923.1733337684886
0.18000000000000013;9727115552.0;9737237549.0;-447159.0;-1523.302344535147;-1438.062116277121;-25.950291598208878;-13349.938651162403;-13750.0;400.06134883759614
0.18400000000000014;9720811600.0;9731293945.0;-466596.0;-1575.987900703621;-1497.491976476714;-21.263936158313072;-13171.389042118506;-11916.666666666666;-1254.7223754518395
0.18800000000000014;9714303390.0;9725053711.0;-401876.0;-1627.0525616377306;-1561.6911525130495;-6.299862644067844;-12766.165233527374;-15000.0;2233.8347664726257
0.19200000000000014;9707602403.0;9718665161.0;-397028.0;-1675.2464991008947;-1605.7906078944802;-13.956608553529804;-12048.484365791011;-13166.666666666666;1118.1823008756542
0.19600000000000015;9700724987.0;9712062378.0;-377692.0;-1719.3540117522807;-1648.5375031542778;-19.985514659693308;-11026.878162846515;-14416.666666666666;3389.788503820151
0.20000000000000015;9693691334.0;9705283813.0;-368935.0;-1758.4132580994776;-1700.3262215760128;-14.261930758988001;-9764.811586799226;-11750.0;1985.188413200774
0.20400000000000015;9686524191.0;9698307495.0;-330945.0;-1791.7855236666408;-1740.7511947795153;-13.687455391846242;-8343.066391790784;-12250.0;3906.933608209215
0.20800000000000016;9679247528.0;9691199341.0;-308455.0;-1819.1656934908042;-1769.9504558483884;-19.972821335324852;-6845.042456040857;-11166.666666666666;4321.624210625809
0.21200000000000016;9671885399.0;9683948364.0;-267262.0;-1840.532294381328;-1822.7821816471667;4.300669078832925;-5341.65022263096;-9666.666666666666;4325.016444035706
0.21600000000000016;9664461137.0;9676620483.0;-249288.0;-1856.0653046688944;-1826.6310206910373;-15.803045517173132;-3883.252571891603;-9166.666666666666;5283.414094775063
0.22000000000000017;9656996174.0;9669232178.0;-247246.0;-1866.2406434666893;-1855.4191432085784;-5.9813121214599505;-2543.8346994487233;-5500.0;2956.1653005512767
0.22400000000000017;9649508100.0;9661662598.0;-117702.0;-1872.018457311677;-1875.2461013870984;8.175327606635392;-1444.4534612468942;-8250.0;6805.546538753106
0.22800000000000017;9642009368.0;9654246826.0;-175817.0;-1874.6829233551189;-1879.7890239372255;0.7681686851399263;-666.1165108604905;-1583.3333333333333;917.2168224728428
0.23200000000000018;9634507516.0;9646699219.0;-120375.0;-1875.4627553923197;-1869.3577281218618;-10.905793965806879;-194.95800930019413;-5166.666666666667;4971.708657366473
