Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;6283.0;-6283.0;-9.579164990268707e-08;-0.3262397270962758;0.056071135161814;-0.00012596429702444682;1333.3333333333333;-1333.3334592976303
0.004;0.0;5203.0;-5203.0;-2.5904457225389223e-07;-0.2701685919344618;0.046439496142811926;-4.081323058780129e-05;1083.3333333333333;-1083.3333741465638
0.008;0.0;4309.0;-4309.0;-2.2287010393352217e-07;-0.22372909579164987;0.03844183674707763;9.043617080092516e-06;833.3333333333334;-833.3333242897163
0.012;0.0;3568.0;-3568.0;-1.214015539362073e-07;-0.18528725904457224;0.03186303617446834;2.5367137499328722e-05;750.0;-749.9999746328625
0.016;0.0;2955.0;-2955.0;-3.3566687682598264e-08;-0.1534242228701039;0.026359101468549972;2.1958716563402255e-05;583.3333333333334;-583.3333113746168
0.02;0.0;2447.0;-2447.0;1.452641922098754e-08;-0.12706512140155393;0.02184408783486627;1.2023276725896451e-05;500.0;-499.9999879767233
0.024;0.0;2027.0;-2027.0;2.8004869457332196e-08;-0.10522103356668766;0.018060048093106892;3.3696125590861642e-06;416.6666666666667;-416.66666329705413
0.028;0.0;1679.0;-1679.0;2.243260908933452e-08;-0.08716098547358077;0.014964013478450222;-1.3930650919994186e-06;333.3333333333333;-333.3333347263984
0.032;0.0;1391.0;-1391.0;1.1450144126967466e-08;-0.07219697199513055;0.012383994427739645;-2.745616240591764e-06;333.3333333333333;-333.33333607894957
0.036000000000000004;0.0;1152.0;-1152.0;2.6033415437925934e-09;-0.0598129775673909;0.01027698901753503;-2.211700645793718e-06;250.0;-250.00000221170063
0.04000000000000001;0.0;954.0;-954.0;-1.936924666795855e-09;-0.04953598854985587;0.008513991153197419;-1.1350665526471122e-06;166.66666666666666;-166.6666678017332
0.04400000000000001;0.0;790.0;-790.0;-2.9884419994912536e-09;-0.041021997396658454;0.007051995459733791;-2.6287933317384965e-07;166.66666666666666;-166.66666692954598
0.048000000000000015;0.0;655.0;-655.0;-2.2391770897082937e-09;-0.03397000193692466;0.005804998948482666;1.8731622744573998e-07;83.33333333333333;-83.3333331460171
0.05200000000000002;0.0;543.0;-543.0;-1.0606759128578185e-09;-0.028165002988441996;0.004816000749264908;2.946252942126188e-07;166.66666666666666;-166.66666637204136
0.05600000000000002;0.0;450.0;-450.0;-1.5340841119647717e-10;-0.02334900223917709;0.003999001178501178;2.2681687541533534e-07;83.33333333333333;-83.33333310651645
0.060000000000000026;0.0;373.0;-373.0;3.323239743862259e-10;-0.01935000106067591;0.003311000907267502;1.2143309639567577e-07;83.33333333333333;-83.33333321190024
0.06400000000000003;0.0;309.0;-309.0;5.162112358391562e-10;-0.01603900015340841;0.002752000485732384;4.597181536323256e-08;0.0;4.597181536323256e-08
0.06800000000000003;0.0;256.0;-256.0;5.470358483622767e-10;-0.013286999667676025;0.002279000183887261;7.706153130780137e-09;83.33333333333333;-83.33333332562718
0.07200000000000004;0.0;212.0;-212.0;4.943403545543715e-10;-0.011007999483788763;0.0018920000308246133;-1.3173873451976293e-08;83.33333333333333;-83.3333333465072
0.07600000000000004;0.0;176.0;-176.0;3.6697156140699674e-10;-0.00911599945296415;0.0015479999473045052;-3.18421982868437e-08;83.33333333333333;-83.33333336517553
0.08000000000000004;0.0;146.0;-146.0;1.7713524020244073e-10;-0.007567999505659645;0.0012899998726312078;-4.7459080301139e-08;0.0;-4.7459080301139e-08
0.08400000000000005;0.0;121.0;-121.0;-3.1285819417867405e-11;-0.006277999633028437;0.0010749998101636784;-5.210526490507703e-08;0.0;-5.210526490507703e-08
0.08800000000000005;0.0;101.0;-101.0;-2.0233611594969972e-10;-0.005202999822864759;0.0008599997915789397;-4.276257413295808e-08;0.0;-4.276257413295808e-08
0.09200000000000005;0.0;84.0;-84.0;-2.9798242602767465e-10;-0.004343000031285819;0.0007309998289497036;-2.3911577519493734e-08;0.0;-2.3911577519493734e-08
0.09600000000000006;0.0;70.0;-70.0;-3.1120603466730203e-10;-0.0036120002023361155;0.0006019999043536898;-3.3059021599068454e-09;0.0;-3.3059021599068454e-09
0.10000000000000006;0.0;58.0;-58.0;-2.6162362689946827e-10;-0.0030100002979824257;0.0005159999867763916;1.239560194195844e-08;0.0;1.239560194195844e-08
0.10400000000000006;0.0;49.0;-49.0;-1.8222447671989554e-10;-0.002494000311206034;0.0003870000495824074;1.9849787544893182e-08;0.0;1.9849787544893182e-08
0.10800000000000007;0.0;41.0;-41.0;-1.0401377342476175e-10;-0.0021070002616236268;0.00034400007939915014;1.9552675823783447e-08;0.0;1.9552675823783447e-08
0.11200000000000007;0.0;34.0;-34.0;-4.5486255476168044e-11;-0.0017630001822244766;0.0003010000782107034;1.4631879487148427e-08;0.0;1.4631879487148427e-08
0.11600000000000008;0.0;29.0;-29.0;-1.1144979368851236e-11;-0.0014620001040137733;0.00021500005852751803;8.585319026829202e-09;0.0;8.585319026829202e-09
0.12000000000000008;0.0;25.0;-25.0;3.642889492087361e-12;-0.0012470000454862552;0.00017200003434127598;3.6969672152346492e-09;0.0;3.6969672152346492e-09
0.12400000000000008;0.0;21.0;-21.0;6.63520801785035e-12;-0.0010750000111449793;0.0001720000147878688;7.480796314407471e-10;0.0;7.480796314407471e-10
0.12800000000000009;0.0;18.0;-18.0;4.608538215731346e-12;-0.0009029999963571105;0.00012900000299231852;-5.066674505297508e-10;0.0;-5.066674505297508e-10
0.1320000000000001;0.0;15.0;-15.0;1.7582070845366188e-12;-0.0007739999933647919;0.00012899999797333025;-7.125827827986819e-10;0.0;-7.125827827986819e-10
0.1360000000000001;0.0;13.0;-13.0;-1.44699548716763e-13;-0.0006449999953914617;8.599999714966884e-05;-4.757266583133454e-10;0.0;-4.757266583133454e-10
0.1400000000000001;0.0;11.0;-11.0;-8.646685594199528e-13;-0.0005589999982417928;8.599999809709332e-05;-1.7999225267579743e-10;0.0;-1.7999225267579743e-10
0.1440000000000001;0.0;10.0;-10.0;-8.118824099945523e-13;-0.0004730000001446995;4.299999928003101e-05;1.3196537356350125e-11;0.0;1.3196537356350125e-11
0.1480000000000001;0.0;9.0;-9.0;-4.675158042637243e-13;-0.0004300000008646685;4.300000005278613e-05;8.609165143270699e-11;0.0;8.609165143270699e-11
0.1520000000000001;0.0;8.0;-8.0;-1.4223225527506774e-13;-0.0003870000008118824;4.300000034436664e-05;8.132088724716414e-11;0.0;8.132088724716414e-11
0.1560000000000001;0.0;7.0;-7.0;4.665039390016273e-14;-0.00034400000046751574;4.3000000325283544e-05;4.722066229380762e-11;0.0;4.722066229380762e-11
0.16000000000000011;0.0;6.0;-6.0;1.059319364227282e-13;-0.0003010000001422322;4.3000000188882616e-05;1.4820385630641368e-11;0.0;1.4820385630641368e-11
0.16400000000000012;0.0;5.0;-5.0;8.943063376091244e-14;-0.0002579999999533496;4.300000005928156e-05;-4.1253256654539376e-12;0.0;-4.1253256654539376e-12
0.16800000000000012;0.0;5.0;-5.0;4.858830803057641e-14;-0.00021499999989406802;-1.6501313119740568e-14;-1.0210581432584009e-11;0.0;-1.0210581432584009e-11
0.17200000000000013;0.0;5.0;-5.0;1.3670978595224052e-14;-0.00021499999991056933;-4.0842329518397946e-14;-8.72933235883809e-12;0.0;-8.72933235883809e-12
