Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.004;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.008;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.012;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.016;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.02;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.024;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.028;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.032;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.036000000000000004;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.04000000000000001;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.04400000000000001;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.048000000000000015;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.05200000000000002;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.05600000000000002;9817499999.0;9817500002.0;-3.0;0.0;-0.00017999999999999998;0.0;0.0;0.0;0.0
0.060000000000000026;9817496353.0;9817500002.0;-3.0;-0.9113460236598947;-0.00017999999999999998;0.0;-227.83650591497369;0.0;-227.83650591497369
0.06400000000000003;9817460024.0;9817500002.0;-3649.0;-9.082176344793004;-0.00017999999999999998;-1.1301060236598945;-2042.7075802832771;0.0;-2042.7075802832771
0.06800000000000003;9817281461.0;9817495481.0;-35457.0;-44.640738407099505;-1.1302860236598946;-10.079310321133107;-8889.640515576626;0.0;-8889.640515576626
0.07200000000000004;9816824348.0;9817450643.0;-169182.0;-114.27824000824839;-11.209596344793002;-43.582062062306505;-17409.37540028722;0.0;-17409.37540028722
0.07600000000000004;9815529856.0;9817231477.0;-407129.0;-323.6231366407503;-54.791658407099504;-83.91432160114888;-52336.224158125486;-166.66666666666666;-52169.557491458814
0.08000000000000004;9812660795.0;9816676654.0;-1146798.0;-717.2652586958751;-138.7059800082484;-253.72503663250194;-98410.5305137812;-500.0;-97910.5305137812
0.08400000000000005;9807307280.0;9815106930.0;-2446135.0;-1338.3787280819145;-392.43101664075033;-471.6023420551248;-155278.36734650983;-1500.0;-153778.36734650983
0.08800000000000005;9798526617.0;9811650797.0;-4343517.0;-2195.1655770195366;-864.0333586958751;-734.9563893860394;-214196.71223440554;-3583.3333333333335;-210613.3789010722
0.09200000000000005;9785402904.0;9805254839.0;-6728222.0;-3280.927964763604;-1598.9897480819145;-999.869148937622;-271440.59693601687;-7416.666666666667;-264023.9302693502
0.09600000000000006;9767050924.0;9794859404.0;-9456500.0;-4587.994754734709;-2598.8588970195365;-1249.4590677440674;-326766.6974927763;-13166.666666666666;-313600.03082610964
0.10000000000000006;9742659105.0;9779466133.0;-12415209.0;-6097.954445547545;-3848.317964763604;-1484.5893299711056;-377489.922703209;-21000.0;-356489.922703209
0.10400000000000006;9711616105.0;9758134504.0;-15475399.0;-7760.749720404177;-5332.9072947347095;-1693.5710908128358;-415698.818714158;-30666.666666666668;-385032.1520474914
0.10800000000000007;9673601529.0;9730028591.0;-18412486.0;-9503.643578329647;-7026.478385547545;-1839.0204948566316;-435723.4644813675;-42250.0;-393473.4644813675
0.11200000000000007;9628605185.0;9694566596.0;-20965067.0;-11249.08537806642;-8865.498880404177;-1896.0487179254706;-436360.44993419317;-55250.0;-381110.44993419317
0.11600000000000008;9576952369.0;9651520406.0;-22915221.0;-12913.20359006976;-10761.547598329647;-1862.4510397367721;-416029.55300083477;-69416.66666666667;-346612.8863341681
0.12000000000000008;9519295511.0;9601024412.0;-24072043.0;-14414.213802950273;-12623.99863806642;-1733.5275320033397;-375252.55322012847;-84000.0;-291252.55322012847
