Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;3589829294.0;3589829526.0;-232.0;9.782781430135117e-07;-0.01823642152311175;0.0043188069580928756;-0.0003517892095275332;1500.0;-1500.0003517892096
0.004;3589829294.0;3589829471.0;-177.0;3.584803011208524e-08;-0.013917614565018875;0.0032985928431618905;-0.0002356075282253566;1083.3333333333333;-1083.3335689408616
0.008;3589829294.0;3589829429.0;-135.0;-3.5377626097039776e-07;-0.010619021721856985;0.0025190575698870975;-9.740607277062074e-05;750.0;-750.0000974060728
0.012;3589829294.0;3589829397.0;-103.0;-3.7048371391856413e-07;-0.008099964151969887;0.0019196103757089175;-4.176863237041592e-06;500.0;-500.00000417686323
0.016;3589829294.0;3589829373.0;-79.0;-2.3244446674487848e-07;-0.00618035377626097;0.0014399832925470523;3.450981179342141e-05;416.6666666666667;-416.6666321568549
0.02;3589829294.0;3589829355.0;-61.0;-8.678143036183528e-08;-0.004740370483713918;0.0010801380392471732;3.64157590957608e-05;333.3333333333333;-333.3332969175742
0.024;3589829294.0;3589829341.0;-47.0;5.190664993605102e-09;-0.0036602324444667445;0.0008401456630363832;2.2993023838860097e-05;250.0;-249.99997700697617
0.028;3589829294.0;3589829330.0;-36.0;3.974102885728906e-08;-0.0028200867814303613;0.0006600919720953554;8.63759096592099e-06;166.66666666666666;-166.6666580290757
0.032;3589829294.0;3589829322.0;-28.0;3.7956737765737305e-08;-0.002159994809335006;0.00048003455036386327;-4.46072772887939e-07;83.33333333333333;-83.3333337794061
0.036000000000000004;3589829294.0;3589829316.0;-22.0;2.270915934702232e-08;-0.0016799602589711426;0.00035999821570890825;-3.811894604678746e-06;166.66666666666666;-166.66667047856126
0.04000000000000001;3589829294.0;3589829311.0;-17.0;7.461580928307333e-09;-0.0013199620432622343;0.0002999847524215815;-3.8118946046787468e-06;83.33333333333333;-83.33333714522793
0.04400000000000001;3589829294.0;3589829307.0;-13.0;-1.4598745294514349e-09;-0.0010199772908406528;0.00023998475242158126;-2.230363864439692e-06;83.33333333333333;-83.33333556369719
0.048000000000000015;3589829188.0;3589829304.0;-10.0;-0.026490612648012946;-0.0007799925384190716;0.00017999107854454219;-6.622652797034604;0.0;-6.622652797034604
0.05200000000000002;3589828132.0;3589829302.0;-114.0;-0.2639967362475786;-0.0006000014598745294;-0.032730611188138414;-59.37653089989141;0.0;-59.37653089989141
0.05600000000000002;3589822941.0;3589829169.0;-1037.0;-1.2975974764697338;-0.033330612648012944;-0.2928861235995656;-258.4001850555388;0.0;-258.4001850555388
0.060000000000000026;3589805786.0;3589827865.0;-4924.0;-4.288944445474618;-0.3262167362475786;-1.2668207402221552;-747.836742251221;0.0;-747.836742251221
0.06400000000000003;3589762266.0;3589821493.0;-15707.0;-10.879997256358694;-1.5930374764697337;-3.6383269690048845;-1647.7632027210188;0.0;-1647.7632027210188
0.06800000000000003;3589671248.0;3589800568.0;-38302.0;-22.754333709327913;-5.231364445474618;-7.946752810884075;-2968.5841132423047;0.0;-2968.5841132423047
