Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.004;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.008;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.012;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.016;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.02;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.024;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.028;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.032;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.036000000000000004;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.04000000000000001;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.04400000000000001;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.048000000000000015;-9979199999.0;-9979199995.0;-4.0;0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.05200000000000002;-9979200562.0;-9979199995.0;-4.0;-0.1406946676298006;-0.00023999999999999998;0.0;-35.17366690745015;0.0;-35.17366690745015
0.05600000000000002;-9979206171.0;-9979199995.0;-567.0;-1.402117033875682;-0.00023999999999999998;-0.1744746676298006;-315.35559156147036;0.0;-315.35559156147036
0.060000000000000026;-9979377978.0;-9979200693.0;-5478.0;-42.95183460718179;-0.1747146676298006;-1.5560823662458816;-10387.429393326527;0.0;-10387.429393326527
0.06400000000000003;-9979691143.0;-9979207616.0;-170362.0;-78.29134547117347;-1.7307970338756822;-51.4427575733061;-8834.877715997922;0.0;-8834.877715997922
0.06800000000000003;-9980271530.0;-9979420310.0;-270833.0;-145.0965742010945;-53.173554607181785;-41.36777086399168;-16701.30718248026;-83.33333333333333;-16617.973849146925
0.07200000000000004;-9981155738.0;-9979798475.0;-473055.0;-221.05193157094007;-94.54132547117347;-78.93854872992104;-18988.83934246139;-333.3333333333333;-18655.506009128057
0.07600000000000004;-9982409526.0;-9980492394.0;-663344.0;-313.4470907066311;-173.4798742010945;-87.37269736984558;-23098.789783922763;-833.3333333333334;-22265.456450589427
0.08000000000000004;-9984188725.0;-9981535804.0;-873722.0;-444.79978914842326;-260.8525715709401;-105.01783913569102;-32838.17461044803;-1416.6666666666667;-31421.50794378137
0.08400000000000005;-9986665874.0;-9982999285.0;-1189440.0;-619.2872592493732;-365.8704107066311;-150.2957784417921;-43621.867525237474;-2083.3333333333335;-41538.534191904146
0.08800000000000005;-9989992484.0;-9985063949.0;-1601925.0;-831.6522665801958;-516.1661891484232;-199.23657010094996;-53091.25183270567;-2916.6666666666665;-50174.585166038996
0.09200000000000005;-9994295321.0;-9987925560.0;-2066924.0;-1075.7091905128075;-715.4027592493732;-240.26494733082268;-61014.23098315291;-4166.666666666667;-56847.56431648625
0.09600000000000006;-9999692414.0;-9991748230.0;-2547091.0;-1349.2732681050745;-955.6677065801958;-272.86694393261166;-68391.01939806675;-5750.0;-62641.01939806676
0.10000000000000006;-10006289495.0;-9996662368.0;-3030046.0;-1649.2703159311266;-1228.5346505128075;-302.54137759226705;-74999.26195651302;-7583.333333333333;-67415.92862317967
0.10400000000000006;-10014158919.0;-10002786672.0;-3502823.0;-1967.355851086042;-1531.0760281050746;-328.36366782605205;-79521.38378872888;-9666.666666666666;-69854.71712206221
0.10800000000000007;-10023348606.0;-10010224430.0;-3934489.0;-2297.421595286193;-1859.4396959311266;-343.9854951549155;-82516.43605003778;-12000.0;-70516.43605003778
0.11200000000000007;-10033878982.0;-10019038130.0;-4310476.0;-2632.5938723170025;-2203.425191086042;-352.6249642001512;-83793.06925770231;-14583.333333333334;-69209.73592436899
0.11600000000000008;-10045722300.0;-10029262330.0;-4616652.0;-2960.829300869926;-2556.0501552861933;-353.5428370308091;-82058.8571382309;-17250.0;-64808.8571382309
0.12000000000000008;-10058815812.0;-10040900701.0;-4821599.0;-3273.3777846862204;-2909.5929923170024;-340.53224855292365;-78137.12095407357;-20000.0;-58137.120954073565
0.12400000000000008;-10073077724.0;-10053901201.0;-4914611.0;-3565.478035108127;-3250.125240869926;-318.1292038162942;-73025.0626054767;-22666.666666666668;-50358.395938810034
0.12800000000000009;-10088403534.0;-10068174218.0;-4903506.0;-3831.4520895487444;-3568.2544446862203;-291.43395042190696;-66493.5136101543;-25333.333333333332;-41160.180276820975
0.1320000000000001;-10104665630.0;-10083612971.0;-4790563.0;-4065.52400363279;-3859.688395108127;-259.19747444061704;-58517.9785210114;-27750.0;-30767.9785210114
0.1360000000000001;-10121722568.0;-10100088514.0;-4577116.0;-4264.234260427022;-4118.885869548744;-221.2650940840458;-49677.56419855789;-30083.333333333332;-19594.230865224556
0.1400000000000001;-10139429199.0;-10117449117.0;-4273451.0;-4426.657583015017;-4340.15096363279;-180.49035679423105;-40605.83064699881;-32083.333333333332;-8522.497313665479
0.1440000000000001;-10157638016.0;-10135531682.0;-3897517.0;-4552.203959769202;-4520.641320427021;-139.86728258799576;-31386.594188546267;-33833.333333333336;2446.739144787067
0.1480000000000001;-10176215106.0;-10154173716.0;-3464300.0;-4644.272223600424;-4660.508603015017;-99.55335675418519;-23017.06595780547;-35166.666666666664;12149.600708861193
0.1520000000000001;-10195060304.0;-10173213963.0;-3001143.0;-4711.299301285559;-4760.061959769202;-64.27884383122182;-16756.76942128371;-36250.0;19493.23057871629
0.1560000000000001;-10214093291.0;-10192511326.0;-2548978.0;-4758.246546782876;-4824.340803600424;-39.89717768513492;-11736.811374329363;-37083.333333333336;25346.52195900397
0.16000000000000011;-10233240641.0;-10211968277.0;-2125014.0;-4786.837175967248;-4864.237981285559;-21.509405497316948;-7147.65729609303;-37666.666666666664;30519.009370573636
0.16400000000000012;-10252444410.0;-10231511266.0;-1729375.0;-4800.94209841128;-4885.747386782876;-4.852289184372239;-3526.2306110080317;-38000.0;34473.76938899197
0.16800000000000012;-10271666977.0;-10251073664.0;-1370746.0;-4805.641487019442;-4890.599675967248;7.412817555968104;-1174.8471520404564;-38166.666666666664;36991.81951462621
0.17200000000000013;-10290888545.0;-10270606411.0;-1060566.0;-4805.391789118908;-4883.18685841128;13.911411391837646;62.424475133639135;-38166.666666666664;38229.0911418003
0.17600000000000013;-10310102140.0;-10290083512.0;-805033.0;-4803.398567792608;-4869.275447019442;15.581677900534487;498.30533157478385;-38083.333333333336;38581.63866490812
