Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.004;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.008;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.012;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.016;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.02;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.024;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.028;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.032;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.05200000000000002;0.0;4.0;-4.0;-0.0;-0.00023999999999999998;0.0;0.0;0.0;0.0
0.05600000000000002;-252.0;4.0;-4.0;-0.0630667140370379;-0.00023999999999999998;0.0;-15.766678509259474;0.0;-15.766678509259474
0.060000000000000026;-2766.0;4.0;-256.0;-0.628502241437792;-0.00023999999999999998;-0.07818671403703789;-141.3588818501885;0.0;-141.3588818501885
0.06400000000000003;-15123.0;-309.0;-2457.0;-3.089215963494595;-0.0784267140370379;-0.697495527400754;-615.1784305142007;0.0;-615.1784305142007
0.06800000000000003;-55966.0;-3412.0;-11711.0;-10.210912098550901;-0.775922241437792;-3.015953722056803;-1780.4240337640765;0.0;-1780.4240337640765
0.07200000000000004;-159580.0;-18579.0;-37387.0;-25.90338655279852;-3.791875963494595;-8.662256135056305;-3923.1186135619046;0.0;-3923.1186135619046
0.07600000000000004;-376286.0;-68395.0;-91185.0;-54.176569519243046;-12.4541320985509;-18.92035445424762;-7068.295741611131;0.0;-7068.295741611131
0.08000000000000004;-767692.0;-193892.0;-182394.0;-97.85151056038654;-31.37448655279852;-33.74572296644453;-10918.735260285874;-83.33333333333333;-10835.401926952542
0.08400000000000005;-1400545.0;-454372.0;-313320.0;-158.21330824663278;-65.12020951924305;-51.530501041143495;-15090.449421561558;-250.0;-14840.449421561558
0.08800000000000005;-2343617.0;-920974.0;-479571.0;-235.76780454464338;-116.65071056038654;-70.33685768624623;-19388.62407450265;-583.3333333333334;-18805.29074116932
0.09200000000000005;-3666912.0;-1668924.0;-674693.0;-330.8237443029353;-186.98756824663278;-89.26181629801059;-23763.984939572987;-1000.0;-22763.984939572987
0.09600000000000006;-5439472.0;-2773921.0;-892991.0;-443.13992880181553;-276.24938454464336;-108.15381975829195;-28079.04612472005;-1500.0;-26579.04612472005
0.10000000000000006;-7724957.0;-4311533.0;-1127939.0;-571.3713068673978;-384.4032043029353;-126.4130644988802;-32057.844516395577;-2166.6666666666665;-29891.17784972891
0.10400000000000006;-10577571.0;-6354798.0;-1370159.0;-713.1534072546613;-510.8162688018155;-142.76457806558227;-35445.52509681586;-3000.0;-32445.525096815858
0.10800000000000007;-14039581.0;-8969121.0;-1608450.0;-865.5024785893229;-653.5808468673978;-156.07956038726343;-38087.267833665406;-4083.3333333333335;-34003.93450033208
0.11200000000000007;-18139944.0;-12207762.0;-1831819.0;-1025.0908246549877;-809.6604072546612;-165.75121133466166;-39897.08651641621;-5166.666666666667;-34730.419849749545
0.11600000000000008;-22894717.0;-16109408.0;-2030536.0;-1188.6931781599535;-975.4116185893229;-171.5113660656648;-40900.588376241445;-6333.333333333333;-34567.25504290811
0.12000000000000008;-28309922.0;-20697099.0;-2197618.0;-1353.8011185488665;-1146.9229846549877;-173.62727350496584;-41276.98509722825;-7583.333333333333;-33693.651763894915
