Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;55.00000093719436;-350.0000023173282;270.0000162800884;-1.5926129343346296;0.49794236335345415;-0.02827432961815609;1.1016494424785666;-0.9806219770757522;2.583048287531708;2.6847230556463164;1.6040437018300053;-3.1474475672673465;-15.063811301529658;-1.6736441381633025;-15.064203268468694;-1.7712882605907834;-0.16604691929537904;-0.019741245935086117;-0.16604732449882534;-0.019739186668145774;24948.28107415497
0.012;55.00000040445484;-350.0000013658731;270.00000937873193;-1.5926129381617278;0.4979423992464104;-0.028274330620303625;1.1016494424785666;-0.9806219770757522;2.583048286553933;2.6847230528101567;1.6040436650072518;-3.1474475672673465;-15.063759328783723;-1.6739060568443944;-15.064203268468694;-1.7712882605907834;-0.16604691929620255;-0.019741245929223224;-0.1660467298146354;-0.01974232513210643;0.0
0.024;55.00000018131188;-350.00000080042105;270.00000545954595;-1.5926129398446531;0.4979424196256557;-0.028274331254895202;1.1016494424785666;-0.9806219770757522;2.583048286162822;2.6847230517193257;1.604043644252609;-3.1474475672673465;-15.063776924415897;-1.6738084474313604;-15.064203268468694;-1.7712882605907834;-0.1660469192958643;-0.019741245931779138;-0.1660469237700165;-0.019741198710772345;0.00033050411134257895
0.036000000000000004;55.00000001846632;-350.00000041951785;270.00000318772743;-1.5926129408941923;0.4979424314357075;-0.028274331737199326;1.1016494424785666;-0.9806219770757522;2.583048286162822;2.6847230510648274;1.6040436324246943;-3.1474475672673465;-15.063777533359847;-1.7619019454454;-15.072492214368816;-1.9319229822505621;-0.16604691929586576;-0.019741245931655865;-0.16604693048236163;-0.019741185475994693;0.00033050411134257895
0.048;54.99999999792789;-350.0000002129269;270.0000019005132;-1.5926129411123686;0.4979424381261663;-0.02827433199844143;1.1016494424785666;-0.9806219770757522;2.583048286162822;2.6847230510648274;1.6040436257296482;-3.1474475672673465;-15.063776315210855;-1.7619074052225712;-15.092518125412639;-2.2739969833624865;-0.1659888888604562;-0.020324847347848063;-0.16604691705479338;-0.019741259442269704;0.00010865407809357453
0.06;55.000229543847055;-349.99999482806925;270.00000411380233;-1.5926128341693355;0.4979424264038279;-0.028274332112791314;1.1016483647929856;-0.9806219512959771;2.5830479478525024;2.6847220843705877;1.6040433434218722;-3.1474474563876056;-15.85668366648867;-1.6734785120378062;-15.120346268033206;-2.6202796750301314;-0.164113407184539;-0.034211203266024205;-0.16604619009265736;-0.01974884224998825;0.019134978049087432
0.072;55.05722320335228;-349.99629613595073;270.0023319550016;-1.5924821059212633;0.49793050211985046;-0.028267528482988517;1.1014667690284372;-0.980620527251982;2.5830164280862093;2.684668188603286;1.6040277011162285;-3.147441278606497;-15.859995945045213;3.2910040240052187;-15.150615248977422;-2.802833306148786;-0.15632906268662317;-0.07391551234416927;-0.16599927413681415;-0.02012346155777336;4.763414052727251
0.08399999999999999;55.222925916945684;-349.9909179067899;270.0078289416857;-1.5922488132774344;0.4979022778741156;-0.028253353678612394;1.1008214322119456;-0.9806094394476631;2.582843649681352;2.68425110312678;1.6039054190009014;-3.1473932142922254;-15.869036452549244;3.4029312168854813;-15.181630692346003;-2.8241405143055234;-0.14169072597406596;-0.09717705446902818;-0.1655990786423936;-0.022720697648443717;13.823422912197588
0.09599999999999999;55.552688794404595;-349.986187785481;270.01320010303334;-1.5920617340735899;0.49787450405498956;-0.028244267162230254;1.0993098639647088;-0.9805738285360809;2.5823596513998166;2.6829278032145645;1.6035129355381637;-3.1472391044570456;-26.8284377550493;3.4101209434222834;-15.22079118192205;-2.853621938005361;-0.12224366841872389;-0.10538534561398658;-0.1642534842608536;-0.0286179566456569;27.48671104173658
0.10799999999999998;56.152117431942024;-349.9798855086112;270.0120354792033;-1.5919203981859946;0.4978664020209318;-0.028252233630355828;1.0964045495666987;-0.9804800855783381;2.581378557925151;2.680179136099144;1.6026882685516555;-3.1469132333479632;-26.750045402115223;3.3357726501251994;-15.267586292495892;-2.8914232219763125;-0.1026341659802149;-0.1081975747139142;-0.16136825684244274;-0.03615135161869596;49.95524109801106
