Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;-4.0;4.0;1.7396893794536924e-09;0.00023999558771582553;4.394897643294343e-09;4.3926897765097614e-07;0.0;4.3926897765097614e-07
0.004;0.0;-4.0;4.0;1.759841780977298e-09;0.00023999998261346883;1.7570759106044255e-09;5.0381003809014e-09;0.0;5.0381003809014e-09
0.008;0.0;-4.0;4.0;1.0803849515119464e-09;0.00024000173968937943;2.0152401530295835e-11;-1.6986420736633789e-07;0.0;-1.6986420736633789e-07
0.012;0.0;-4.0;4.0;3.877356320526532e-10;0.00024000175984178096;-6.794568294771989e-10;-1.7316232986482331e-07;0.0;-1.7316232986482331e-07
0.016;0.0;-4.0;4.0;-3.958416860131122e-11;0.00024000108038495148;-6.926493194650031e-10;-1.0682995016349111e-07;0.0;-1.0682995016349111e-07
0.02;0.0;-4.0;4.0;-1.943027935663299e-10;0.00024000038773563202;-4.273198006381207e-10;-3.867965624125467e-08;0.0;-3.867965624125467e-08
0.024;0.0;-4.0;4.0;-1.800158987522901e-10;0.00023999996041583138;-1.5471862495602257e-10;3.5717237035099504e-09;0.0;3.5717237035099504e-09
0.028;0.0;-4.0;4.0;-1.0400291981121032e-10;0.00023999980569720642;1.4286894800888406e-11;1.9003244735269944e-08;0.0;1.9003244735269944e-08
0.032;0.0;-4.0;4.0;-3.310168112730296e-11;0.00023999981998410123;7.601297895157635e-11;1.772530967097684e-08;0.0;1.772530967097684e-08
0.036000000000000004;0.0;-4.0;4.0;8.066236093507367e-12;0.00023999989599708018;7.090123868330918e-11;1.0291979305202583e-08;0.0;1.0291979305202583e-08
0.04000000000000001;0.0;-4.0;4.0;2.1310483236939643e-11;0.00023999996689831886;4.116791721972893e-11;3.311061785858069e-09;0.0;3.311061785858069e-09
0.04400000000000001;0.0;-4.0;4.0;1.8260135397865616e-11;0.00024000000806623608;1.324424714322335e-11;-7.625869597685067e-10;0.0;-7.625869597685067e-10
0.048000000000000015;0.0;-4.0;4.0;9.912005054582994e-12;0.00024000002131048322;-3.0503478432378217e-12;-2.0870325858206556e-09;0.0;-2.0870325858206556e-09
0.05200000000000002;0.0;-4.0;4.0;2.7152018314572633e-12;0.00024000001826013538;-8.348130346724769e-12;-1.7992008057814327e-09;0.0;-1.7992008057814327e-09
0.05600000000000002;0.0;-4.0;4.0;-1.211651379072835e-12;0.00024000000991200503;-7.196803211966668e-12;-9.817133026325246e-10;0.0;-9.817133026325246e-10
