Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;383.20476754251547;-26.939998808242283;577.6500808701098;-0.02999931515964845;0.5030594759232294;-0.019228646417539116;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-4.7778388273344776e-08;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.851952567210029;-11.027084108346878;-2.849622568533549;-11.024047386580955;-0.03143691822902559;-0.1235527899834128;-0.03143686692250914;-0.12355276311873253;6903.464275954006
0.012;383.20476754251547;-26.939999651179612;577.650081587152;-0.029999329799505762;0.503059475124879;-0.019228676783868245;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-2.1162117180431245e-08;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.8519583482879907;-11.027086106557897;-2.849622568533549;-11.024047386580955;-0.03143691822890042;-0.1235527899833377;-0.031436930646913476;-0.12355278550765152;9.22215347990314e-05
0.024;383.20476754251547;-26.94000001737369;577.6500818986541;-0.029999336159443772;0.5030594747780546;-0.019228689975798102;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-9.599310885968814e-09;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.8519573039378767;-11.0270867962939;-2.849622568533549;-11.024047386580955;-0.031436918228930105;-0.12355278998332309;-0.03143691913511769;-0.123552793235786;0.0
0.036000000000000004;383.20476754251547;-26.940000183197423;577.6500820397116;-0.029999339039415696;0.503059474621002;-0.01922869594950219;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-4.363323129985824e-09;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.851957132688039;-11.027086489016058;-2.849622568533549;-11.024047386580955;-0.0314369182289325;-0.12355278998333041;-0.03143691724744311;-0.12355278979289702;1.814194245238142e-05
0.048;383.20476754251547;-26.94000025229064;577.6500820984855;-0.029999340239403996;0.5030594745555634;-0.019228698438545556;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-2.181661564992912e-09;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.8519572322037865;-11.027086491681185;-3.6445204607968447;-11.927765790452312;-0.03143691822893018;-0.12355278998332997;-0.031436918344398;-0.12355278982275837;1.814194245238142e-05
0.06;383.20476754251547;-26.940000279927933;577.6500821219952;-0.029999340719399317;0.5030594745293879;-0.019228699434162905;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-1.308996938995747e-09;-1.1158410120775033e-09;-1.3688856878386898e-09;-2.851957225421488;-11.027086509701714;-5.204388974149502;-13.689425998953437;-0.033200636474865236;-0.12437043255773234;-0.031436918269637217;-0.12355279002466907;3.0236603325565117e-06
0.072;383.2049450457094;-26.94000029374744;577.6511589978338;-0.029999248448352153;0.5030538721687802;-0.01922850804244454;-4.4185550683400743e-10;-1.9198621777709213;1.9198621762159869;-8.726646259971648e-10;-5.605985244677377e-06;-1.3688856878386898e-09;-2.854175197013486;-11.02807440551707;-6.748552817005249;-15.394507870176051;-0.04902558453554599;-0.13495444981466007;-0.031461366810113384;-0.12356385888534534;0.09095057170929803
0.08399999999999999;383.204893871191;-26.940000293800182;577.7475944433651;-0.02999260091267257;0.5026510661636283;-0.019214714381323536;-4.4185550683400743e-10;-1.9199073071911092;1.9198187659174992;-8.726646259971648e-10;-0.00032005355313935647;-1.3688856878386898e-09;8.194392559773767;-5.794905126344261;-7.49570826481229;-16.141908470330637;-0.0659924390734545;-0.15319283477516654;-0.03207157013678645;-0.12391579980065252;8.036288189263523
0.09599999999999999;383.26404837345484;-26.94000029418386;578.2784969375986;-0.029949988730322584;0.5000576752099263;-0.019126052424245102;-4.4185550683400743e-10;-1.9199856482723172;1.9197461850561137;-8.726646259971648e-10;-0.0027636877921928655;-1.3688856878386898e-09;7.928868063185803;-5.970586817463059;-7.4619054073366495;-15.969182176087266;-0.0806105972786768;-0.17097979471655567;-0.03426897171310307;-0.12556095010710722;44.51565802555861
0.10799999999999998;383.48290954815286;-26.94000029539142;579.8311018763741;-0.029821998876668546;0.492147681312674;-0.018857169218660187;-4.4185550683400743e-10;-1.9200605667997999;1.9196782523438587;-8.726646259971648e-10;-0.010534364206855962;-1.3688856878386898e-09;7.372490408486654;-6.349313212799198;-7.45589998640302;-15.793715408359004;-0.08405467990917236;-0.18013379060324844;-0.03801091698389083;-0.12891539681278372;130.6629003220048
