Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.008;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.012;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.016;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.02;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.024;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.028;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.032;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05200000000000002;-210.0;2.0;-2.0;-0.052607420098777474;-0.000192;0.0;-13.151855024694369;0.0;-13.151855024694369
0.05600000000000002;-2307.0;2.0;-212.0;-0.5242683395383991;-0.000192;-0.07276742009877749;-117.91522985990541;0.0;-117.91522985990541
0.060000000000000026;-12615.0;-289.0;-2018.0;-2.576885199250529;-0.07295942009877748;-0.6450369194396217;-513.1542149280324;0.0;-513.1542149280324
0.06400000000000003;-175656.0;-3160.0;-9455.0;-40.76041341275298;-0.7179963395383991;-2.76656885971213;-9545.882053375613;0.0;-9545.882053375613
0.06800000000000003;-418853.0;-17098.0;-158558.0;-60.79912734093464;-3.484565199250529;-52.49741621350245;-5009.678482045414;0.0;-5009.678482045414
0.07200000000000004;-830352.0;-241025.0;-177828.0;-102.87471246007844;-55.98198141275298;-21.888633928181655;-10518.896279785951;-83.33333333333333;-10435.562946452617
0.07600000000000004;-1411737.0;-552507.0;-277845.0;-145.34631156413394;-77.87061534093463;-51.677217119143805;-10617.899776013875;-333.3333333333333;-10284.566442680542
0.08000000000000004;-2161607.0;-1070698.0;-341039.0;-187.4676196186145;-129.54783246007844;-48.538223104055504;-10530.327013620137;-666.6666666666666;-9863.660346953471
0.08400000000000005;-3128122.0;-1783042.0;-378565.0;-241.62871518318846;-178.08605556413394;-45.72380405448055;-13540.273891143492;-1000.0;-12540.273891143492
0.08800000000000005;-4383593.0;-2678281.0;-449841.0;-313.86775534041817;-223.8098596186145;-61.00359156457398;-18059.760039307428;-1333.3333333333333;-16726.426705974092
0.09200000000000005;-5996538.0;-3817534.0;-566059.0;-403.2360715495605;-284.8134511831885;-83.39596815722967;-22342.079052285582;-1750.0;-20592.079052285582
0.09600000000000006;-8020135.0;-5290371.0;-706167.0;-505.89917283654887;-368.20941934041815;-102.81868420914236;-25665.775321747093;-2333.3333333333335;-23332.441988413757
0.10000000000000006;-10496573.0;-7174483.0;-845652.0;-619.1096716541309;-471.0281035495605;-116.05366128698842;-28302.62470439551;-3000.0;-25302.62470439551
0.10400000000000006;-13457903.0;-9522810.0;-973763.0;-740.3322675489709;-587.0817648365489;-125.50915481758204;-30305.64897370999;-3750.0;-26555.64897370999
0.10800000000000007;-16926620.0;-12373173.0;-1084730.0;-867.1794304439275;-712.590919654131;-131.87542789483996;-31711.79072373914;-4583.333333333333;-27128.45739040581
0.11200000000000007;-20919102.0;-15751038.0;-1175582.0;-998.1204519455019;-844.4663475489709;-135.5689548949565;-32735.25537539362;-5583.333333333333;-27151.922042060287
0.11600000000000008;-25447328.0;-19671179.0;-1247923.0;-1132.0562579984507;-980.0353024439274;-137.8857575015744;-33483.9515132372;-6583.333333333333;-26900.618179903868
0.12000000000000008;-30518933.0;-24142863.0;-1304465.0;-1267.901237228465;-1117.9210599455018;-139.36383805294895;-33961.24480750359;-7666.666666666667;-26294.578140836922
0.12400000000000008;-36137672.0;-29172002.0;-1346931.0;-1404.6847975168396;-1257.2848979984508;-139.92171523001434;-34195.89007209362;-8666.666666666666;-25529.223405426954
0.12800000000000009;-42304552.0;-34760828.0;-1376844.0;-1541.7199658137874;-1397.2066132284651;-139.65520828837452;-34258.79207423697;-9833.333333333334;-24425.458740903632
0.1320000000000001;-49019139.0;-40908275.0;-1396277.0;-1678.6465041240801;-1536.8618215168397;-138.9007362969478;-34231.634577573175;-10916.666666666666;-23314.967910906507
0.1360000000000001;-56277964.0;-47611325.0;-1407814.0;-1814.706141446045;-1675.7625578137875;-138.03409031029264;-34014.90933049121;-12000.0;-22014.909330491206
0.1400000000000001;-64070278.0;-54866511.0;-1411453.0;-1948.0783920478189;-1813.79664812408;-136.4089813219648;-33343.06265044347;-13083.333333333334;-20259.729317110137
0.1440000000000001;-72378274.0;-62667333.0;-1402945.0;-2076.998984539029;-1950.205629446045;-132.55548260177375;-32230.148122802573;-14166.666666666666;-18063.48145613591
0.1480000000000001;-81179013.0;-70998377.0;-1379897.0;-2200.18463700254;-2082.7611120478186;-126.70798449121048;-30796.413115877727;-15250.0;-15546.413115877727
0.1520000000000001;-90441813.0;-79836253.0;-1342760.0;-2315.700009393421;-2209.469096539029;-119.62050046351078;-28878.843097720277;-16250.0;-12628.843097720277
0.1560000000000001;-100127196.0;-89152611.0;-1289202.0;-2421.345613578962;-2329.08959700254;-110.3738043908811;-26411.40104638521;-17250.0;-9161.401046385208
0.16000000000000011;-110189642.0;-98910464.0;-1216732.0;-2515.6113320605846;-2439.463401393421;-98.6884841855408;-23566.429620405645;-18166.666666666668;-5399.762953738975
0.16400000000000012;-120579292.0;-109063071.0;-1126571.0;-2597.4123341885133;-2538.151885578962;-85.61026248162261;-20450.250531982194;-19083.333333333332;-1366.91719864886
0.16800000000000012;-131242214.0;-119558119.0;-1021173.0;-2665.7304019026465;-2623.7621480605844;-71.6827941279289;-17079.51692853328;-19833.333333333332;2753.8164048000517
0.17200000000000013;-142123598.0;-130339898.0;-902316.0;-2720.345903926404;-2695.4449421885133;-56.907795714133044;-13653.875505939368;-20500.0;6846.124494060632
0.17600000000000013;-153173687.0;-141349308.0;-774290.0;-2762.522035566746;-2752.3527379026464;-42.325006023757396;-10544.032910085549;-21000.0;10455.967089914451
0.18000000000000013;-164348890.0;-152528018.0;-645669.0;-2793.8006981703384;-2794.6777439264038;-29.828515640342175;-7819.6656508980595;-21416.666666666668;13597.001015768608
0.18400000000000014;-175610664.0;-163826043.0;-522847.0;-2815.44337542787;-2824.506259566746;-19.487750603592303;-5410.669314382858;-21750.0;16339.330685617142
0.18800000000000014;-186928475.0;-175202019.0;-408645.0;-2829.4524934998367;-2843.9940101703382;-10.679285257531774;-3502.279517991724;-22000.0;18497.720482008277
0.19200000000000014;-198280888.0;-186620712.0;-307763.0;-2838.1032359667365;-2854.67329542787;-4.324446071966577;-2162.685616724957;-22166.666666666668;20003.98104994171
