Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.008;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.012;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.016;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.02;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.024;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.028;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.032;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05200000000000002;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05600000000000002;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.060000000000000026;-367.0;2.0;-2.0;-0.0919530107859901;-0.000192;0.0;-22.988252696497522;0.0;-22.988252696497522
0.06400000000000003;-4033.0;2.0;-369.0;-0.9163736254279506;-0.000192;-0.1271850107859901;-206.10515366049015;0.0;-206.10515366049015
0.06800000000000003;-101818.0;-507.0;-3526.0;-24.44618359625548;-0.1273770107859901;-1.1274926146419604;-5882.452492706882;0.0;-5882.452492706882
0.07200000000000004;-308198.0;-5526.0;-96292.0;-51.59520363540633;-1.2548696254279506;-32.435345970827534;-6787.255009787712;0.0;-6787.255009787712
0.07600000000000004;-725402.0;-140286.0;-167912.0;-104.30100339209491;-33.690215596255484;-34.02454003915085;-13176.449939172146;-83.33333333333333;-13093.116605838813
0.08000000000000004;-1387066.0;-411145.0;-314257.0;-165.41584601364295;-67.71475563540633;-66.7549197566886;-15278.710655387009;-250.0;-15028.710655387009
0.08400000000000005;-2284931.0;-949023.0;-438043.0;-224.46632294828356;-134.46967539209493;-72.99829862154803;-14762.619233660153;-583.3333333333334;-14179.28590032682
0.08800000000000005;-3484719.0;-1778894.0;-506037.0;-299.9469739745146;-207.46797401364296;-65.57790093464058;-18870.162756557762;-1000.0;-17870.162756557762
0.09200000000000005;-5108479.0;-2871077.0;-613642.0;-405.9399154909916;-273.04587494828354;-85.81073102623105;-26498.23537911925;-1583.3333333333333;-24914.90204578592
0.09600000000000006;-7279759.0;-4306503.0;-801976.0;-542.8199361670058;-358.8566059745146;-124.073005516477;-34220.005169003554;-2166.6666666666665;-32053.33850233689
0.10000000000000006;-10095953.0;-6238221.0;-1041538.0;-704.0486248375418;-482.9296114909916;-159.87797267601428;-40307.17216763398;-2916.6666666666665;-37390.505500967316
0.10400000000000006;-13636273.0;-8809451.0;-1286502.0;-885.0798166762364;-642.8075841670059;-184.74523267053587;-45257.79795967367;-3833.3333333333335;-41424.464626340334
0.10800000000000007;-17969761.0;-12119662.0;-1516611.0;-1083.372074813303;-827.5528168375417;-203.12165583869478;-49573.06453426665;-5083.333333333333;-44489.73120093332
0.11200000000000007;-23151275.0;-16242359.0;-1727402.0;-1295.3784839857965;-1030.6744726762365;-218.52819413706652;-53001.60229312337;-6500.0;-46501.60229312337
0.11600000000000008;-29219885.0;-21239169.0;-1912106.0;-1517.1523142600156;-1249.202666813303;-229.73799317249336;-55443.457568554775;-8083.333333333333;-47360.12423522145
0.12000000000000008;-36204133.0;-27154931.0;-2064954.0;-1746.0620069152865;-1478.9406599857964;-236.44723827421922;-57227.423163817715;-9833.333333333334;-47394.08983048439
0.12400000000000008;-44124754.0;-34016482.0;-2187651.0;-1980.1549586930669;-1715.3878982600156;-240.68860465527086;-58523.2379444451;-11583.333333333334;-46939.904611111764
0.12800000000000009;-52994675.0;-41840788.0;-2283966.0;-2217.4801444220857;-1956.0765029152865;-243.33919177778057;-59331.296432254705;-13416.666666666666;-45914.62976558803
0.1320000000000001;-62814624.0;-50638450.0;-2356225.0;-2454.98733770503;-2199.415694693067;-244.2620497290186;-59376.798320736045;-15250.0;-44126.798320736045
0.1360000000000001;-73565425.0;-60413160.0;-2401464.0;-2687.700126053097;-2443.6777444220857;-241.85013728294416;-58178.19708701677;-17166.666666666668;-41011.5304203501
0.1400000000000001;-85210433.0;-71155271.0;-2410154.0;-2911.2518402126116;-2685.52788170503;-233.54702834806722;-55887.92853987866;-19083.333333333332;-36804.595206545324
0.1440000000000001;-97702675.0;-82831570.0;-2378863.0;-3123.060157923915;-2919.074910053097;-220.54777815951456;-52952.079427825876;-21000.0;-31952.07942782588
0.1480000000000001;-110983178.0;-95390060.0;-2312615.0;-3320.125732085974;-3139.6226882126116;-205.44850971130336;-49266.39354051474;-22833.333333333332;-26433.06020718141
0.1520000000000001;-124979373.0;-108770344.0;-2212834.0;-3499.048577271219;-3345.071197923915;-187.48659816205918;-44730.71129631126;-24500.0;-20230.711296311256
0.1560000000000001;-139608861.0;-122900575.0;-2078798.0;-3657.3717764501002;-3532.557796085974;-166.05538918524508;-39580.79979472029;-26083.333333333332;-13497.46646138696
0.16000000000000011;-154782139.0;-137695027.0;-1913834.0;-3793.3193441317057;-3698.613185271219;-142.48665517888094;-33986.89192040138;-27500.0;-6486.891920401376
0.16400000000000012;-170403364.0;-153059426.0;-1722713.0;-3905.3060563449644;-3841.0998404501;-117.59995168160549;-27996.678053314667;-28833.333333333332;836.6552800186646
0.16800000000000012;-186376826.0;-168894225.0;-1509139.0;-3993.365329302034;-3958.6997921317056;-91.48360821325878;-22014.818239267355;-29916.666666666668;7901.848427399312
0.17200000000000013;-202618654.0;-185094958.0;-1281868.0;-4060.4569041249924;-4050.1834003449644;-66.24125695706925;-16772.893705739647;-30916.666666666668;14143.77296092702
0.17600000000000013;-219058378.0;-201560656.0;-1057998.0;-4109.930732354511;-4116.424657302034;-45.600054822958555;-12368.4570573796;-31583.333333333332;19214.87627595373
0.18000000000000013;-235634575.0;-218208754.0;-849624.0;-4144.049102462984;-4162.024712124992;-29.469924229518256;-8529.592527118211;-32083.333333333332;23553.740806215123
0.18400000000000014;-252298116.0;-234974732.0;-659843.0;-4165.88505786324;-4191.4946363545105;-15.899394108473643;-5458.988850064088;-32416.666666666668;26957.67781660258
0.18800000000000014;-269014260.0;-251804308.0;-493808.0;-4179.035625779751;-4207.394030462984;-5.896595400256047;-3287.641979127784;-32750.0;29462.358020872216
0.19200000000000014;-285758775.0;-268657470.0;-356790.0;-4186.128613041957;-4213.29062586324;0.003160083489092358;-1773.2468155513743;-32833.333333333336;31060.08651778196
0.19600000000000015;-302515093.0;-285510619.0;-248156.0;-4189.079450358328;-4213.287465779751;3.335876737794024;-737.7093290929224;-32916.666666666664;32178.957337573742
