Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.004;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.008;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.012;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.016;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.02;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.024;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.028;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.032;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.05200000000000002;-2902.0;5.0;-5.0;-0.7256539924111374;-0.00021499999999999997;0.0;-181.41349810278433;0.0;-181.41349810278433
0.05600000000000002;-31829.0;5.0;-2907.0;-7.23163030930764;-0.00021499999999999997;-0.8504399924111373;-1626.4940792241257;0.0;-1626.4940792241257
0.060000000000000026;-174008.0;-3397.0;-28432.0;-35.5449293903843;-0.8506549924111373;-7.603551316896503;-7078.324770269164;0.0;-7078.324770269164
0.06400000000000003;-641073.0;-37213.0;-136795.0;-116.76605991126986;-8.45420630930764;-32.97290808107665;-20305.28263022139;0.0;-20305.28263022139
0.06800000000000003;-1808813.0;-202921.0;-438152.0;-291.9351553650865;-41.4271143903843;-94.17948152088556;-43792.27386345415;-83.33333333333333;-43708.94053012082
0.07200000000000004;-4199633.0;-745347.0;-1063466.0;-597.7048541082991;-135.60659591126986;-202.0575974538166;-76442.42468580314;-416.6666666666667;-76025.75801913648
0.07600000000000004;-8406919.0;-2096003.0;-2103630.0;-1051.8215161433584;-337.6641933650865;-350.4967507432126;-113529.16550876484;-1333.3333333333333;-112195.8321754315
0.08000000000000004;-15004523.0;-4848646.0;-3558273.0;-1649.401006102835;-688.1609441082991;-516.6663110350593;-149394.87248986916;-3000.0;-146394.87248986916
0.08400000000000005;-24488966.0;-9667955.0;-5336568.0;-2371.110559604116;-1204.8272551433583;-674.0461749594767;-180427.38837532027;-5833.333333333333;-174594.05504198695
0.08800000000000005;-37257808.0;-17183448.0;-7305518.0;-3192.210322623444;-1878.873430102835;-806.3744035012812;-205274.94075483197;-9833.333333333334;-195441.60742149863
0.09200000000000005;-53585142.0;-27924439.0;-9333369.0;-4081.833364940308;-2685.2478336041163;-908.2973560193277;-222405.760579216;-15083.333333333334;-207322.42724588266
0.09600000000000006;-73576428.0;-42298619.0;-11286523.0;-4997.821139381802;-3593.545189623444;-973.6086643168642;-228996.94361037348;-21250.0;-207746.94361037348
0.10000000000000006;-97136944.0;-60567234.0;-13009194.0;-5890.128873603936;-4567.153853940308;-990.0626274414935;-223076.93355553353;-28250.0;-194826.93355553353
0.10400000000000006;-123980420.0;-82796099.0;-14340845.0;-6710.868507423407;-5557.216481381802;-949.5687272221339;-205184.9084548678;-35666.666666666664;-169518.24178820115
0.10800000000000007;-153664488.0;-108823239.0;-15157181.0;-7421.016602594394;-6506.785208603936;-855.8420818194718;-177537.0237927466;-43333.333333333336;-134203.69045941325
0.11200000000000007;-185640468.0;-138273748.0;-15390740.0;-7993.9948497624855;-7362.627290423407;-720.1911321709858;-143244.56179202299;-50583.333333333336;-92661.22845868964
0.11600000000000008;-219321112.0;-170605021.0;-15035447.0;-8420.16052193451;-8082.818422594393;-557.7006481680928;-106541.41804300594;-57166.666666666664;-49374.75137633927
0.12000000000000008;-254156105.0;-205167097.0;-14154015.0;-8708.747887885804;-8640.519070762486;-388.2640961720226;-72146.84148782362;-62666.666666666664;-9480.174821156957
0.12400000000000008;-289686820.0;-241282229.0;-12873876.0;-8882.678192434028;-9028.783166934509;-233.54138895129472;-43482.57613705618;-67083.33333333333;23600.757196277144
0.12800000000000009;-325569592.0;-278331527.0;-11355293.0;-8970.692741728006;-9262.324555885803;-108.63123554822414;-22003.63732349433;-70166.66666666667;48163.02934317234
0.1320000000000001;-361578572.0;-315815350.0;-9754242.0;-9002.244524474927;-9370.955791434028;-19.169356293978126;-7887.945686730291;-72083.33333333333;64195.387646603034
0.1360000000000001;-397592466.0;-353375850.0;-8202722.0;-9003.473088819816;-9390.125147728006;35.163577253078984;-307.14108622214553;-72916.66666666667;72609.52558044452
0.1400000000000001;-433566170.0;-390795696.0;-6796770.0;-8993.425478492005;-9354.961570474927;59.22737165511171;2511.902581952654;-73250.0;75761.90258195266
0.1440000000000001;-469497720.0;-427978632.0;-5587538.0;-8982.88713300102;-9295.734198819815;62.044586327810975;2634.586372746071;-73000.0;75634.58637274607
0.1480000000000001;-505401785.0;-464913390.0;-4584330.0;-8976.01583599609;-9233.689612492004;53.676289490982526;1717.8242512327415;-72666.66666666667;74384.49091789941
0.1520000000000001;-541293897.0;-501633443.0;-3768342.0;-8973.02741147345;-9180.013323001021;41.95878100493246;747.1061306600859;-72166.66666666667;72913.77279732676
0.1560000000000001;-577184153.0;-538185661.0;-3108236.0;-8972.563579060938;-9138.054541996089;31.372982522640086;115.9581031279231;-71750.0;71865.95810312792
0.16000000000000011;-613076828.0;-574612387.0;-2571766.0;-8973.16854897253;-9106.681559473449;23.532042412511146;-151.24247789799483;-71416.66666666667;71265.42418876868
0.16400000000000012;-648972413.0;-610944985.0;-2131843.0;-8973.895812117766;-9083.149517060938;18.3117190884077;-181.8157863090164;-71166.66666666667;70984.85088035766
0.16800000000000012;-684869823.0;-647204336.0;-1768077.0;-8974.35200743049;-9064.83779797253;14.914674854764598;-114.04882818123951;-71000.0;70885.95117181876
0.17200000000000013;-720767841.0;-683404028.0;-1465795.0;-8974.504109528261;-9049.923123117765;12.541930687275453;-38.025524442673486;-70833.33333333333;70795.30780889065
0.17600000000000013;-756665712.0;-719553552.0;-1214289.0;-8974.467154994058;-9037.38119243049;10.662655902227925;9.238633550921804;-70666.66666666667;70675.9053002176
0.18000000000000013;-792563175.0;-755660426.0;-1005286.0;-8974.365514700814;-9026.718536528262;9.024083534204692;25.4100733109226;-70583.33333333333;70608.74340664425
