Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.008;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.012;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.016;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.02;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.024;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.028;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.032;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05200000000000002;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.05600000000000002;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.060000000000000026;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.06400000000000003;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.06800000000000003;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.07200000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.07600000000000004;0.0;2.0;-2.0;-0.0;-0.000192;0.0;0.0;0.0;0.0
0.08000000000000004;0.0;2.0;-2.0;-4.3545562972424124e-24;-0.000192;0.0;-1.088639074310603e-21;0.0;-1.088639074310603e-21
0.08400000000000005;0.0;2.0;-2.0;-3.4686970982608526e-23;-0.000192;0.0;-7.583103671341529e-21;0.0;-7.583103671341529e-21
0.08800000000000005;0.0;2.0;-2.0;-1.352174960203932e-22;-0.000192;0.0;-2.5132631259446168e-20;0.0;-2.5132631259446168e-20
0.09200000000000005;0.0;2.0;-2.0;-3.434493339008069e-22;-0.000192;0.0;-5.205795947010343e-20;0.0;-5.205795947010343e-20
0.09600000000000006;0.0;2.0;-2.0;-6.3600527314003625e-22;-0.000192;0.0;-7.313898480980734e-20;0.0;-7.313898480980734e-20
0.10000000000000006;67047.0;2.0;-2.0;16.761845630175042;-0.000192;0.0;4190.46140754376;0.0;4190.46140754376
0.10400000000000006;98255.0;2.0;67045.0;7.802119313687599;-0.000192;23.19835763017504;-2239.931579121861;0.0;-2239.931579121861
0.10800000000000007;130630.0;92794.0;5461.0;8.093740835048612;23.19816563017504;-14.871790316487441;72.90538034025329;0.0;72.90538034025329
0.11200000000000007;163236.0;126099.0;4531.0;8.151539747056091;8.326375313687599;0.20234152136101358;14.449728001869833;0.0;14.449728001869833
0.11600000000000008;195438.0;160213.0;3023.0;8.05027430113149;8.528716835048613;-0.08696908799252157;-25.316361481150462;83.33333333333333;-108.6496948144838
0.12000000000000008;225299.0;193979.0;1459.0;7.465328496081095;8.441747747056091;-0.251409445924601;-146.23645126259865;83.33333333333333;-229.569784595932
0.12400000000000008;250305.0;226740.0;-1441.0;6.251465353018709;8.19033830113149;-0.863345805050395;-303.4657857655965;83.33333333333333;-386.7991190989298
0.12800000000000009;268690.0;256047.0;-5742.0;4.596334081435705;7.326992496081095;-1.6267591430623858;-413.782817895751;83.33333333333333;-497.1161512290843
0.1320000000000001;279241.0;278847.0;-10157.0;2.6376381306170558;5.700233353018709;-2.078971271583004;-489.6739877046623;83.33333333333333;-573.0073210379957
0.1360000000000001;281314.0;293332.0;-14091.0;0.5184273625052731;3.621262081435705;-2.3363599508186494;-529.8026920279457;83.33333333333333;-613.1360253612789
0.1400000000000001;275508.0;298471.0;-17157.0;-1.4516178357200336;1.2849021306170558;-2.413546768111783;-492.51129955632666;0.0;-492.51129955632666
0.1440000000000001;263409.0;293957.0;-18449.0;-3.0246684450292185;-1.128644637494727;-2.094077198225307;-393.2626523272962;0.0;-393.2626523272962
0.1480000000000001;246777.0;281067.0;-17658.0;-4.157972328258585;-3.2227218357200336;-1.4971146093091852;-283.32597080734155;0.0;-283.32597080734155
0.1520000000000001;226915.0;262188.0;-15411.0;-4.965471218933629;-4.719836445029219;-0.9175918832293659;-201.87472266876117;0.0;-201.87472266876117
0.1560000000000001;204362.0;239639.0;-12724.0;-5.638338885590604;-5.637428328258585;-0.5495468906750443;-168.21691666424354;-83.33333333333333;-84.88358333091021
0.16000000000000011;179124.0;214892.0;-10530.0;-6.309419152241572;-6.186975218933629;-0.4622436666569749;-167.77006666274218;-83.33333333333333;-84.43673332940887
0.16400000000000012;151022.0;188296.0;-9172.0;-7.025719099977814;-6.649218885590604;-0.5407122666509689;-179.07498693406043;-83.33333333333333;-95.7416536007271
0.16800000000000012;119734.0;159537.0;-8515.0;-7.821851925440986;-7.189931152241573;-0.6532279477362417;-199.03320636579292;0.0;-199.03320636579292
0.17200000000000013;85092.0;128165.0;-8431.0;-8.660554754863021;-7.8431590999778145;-0.7880688254631707;-209.67570735550888;0.0;-209.67570735550888
0.17600000000000013;47470.0;93641.0;-8549.0;-9.405573608118246;-8.631227925440985;-0.8500308294220353;-186.25471331380618;-83.33333333333333;-102.92137998047284
0.18000000000000013;0.0;55716.0;-8246.0;-11.867525996582957;-9.48125875486302;-0.7159308532552249;-615.4880971161778;-83.33333333333333;-532.1547637828445
0.18400000000000014;0.0;14928.0;-14928.0;1.304863500181461e-26;-10.197189608118245;-3.1034243884647115;2966.8814991457393;-83.33333333333333;3050.214832479073
0.18800000000000014;-73685.0;-38274.0;38274.0;-18.421445641556694;-13.300613996582957;16.974917996582956;-4605.361410389173;0.0;-4605.361410389173
0.19200000000000014;-112808.0;-23577.0;-50108.0;-9.780604421207428;3.6743040000000002;-26.906117641556694;2160.2103050873166;0.0;2160.2103050873166
0.19600000000000015;-149299.0;-116504.0;3696.0;-9.122781926870573;-23.231813641556695;13.806025220349266;164.45562358421384;0.0;164.45562358421384
0.20000000000000015;-182323.0;-154207.0;4908.0;-8.255941749233573;-9.425788421207429;0.7741744943368563;216.71004440925;-83.33333333333333;300.04337774258335
0.20400000000000015;-211205.0;-188813.0;6490.0;-7.220555281221432;-8.651613926870573;1.0187121776369992;258.84661700303525;-83.33333333333333;342.17995033636856
0.20800000000000016;-235574.0;-219344.0;8139.0;-6.092288558099933;-7.632901749233573;1.1936904680121412;282.06668078037467;-83.33333333333333;365.400014113708
0.21200000000000016;-255535.0;-245100.0;9526.0;-4.990145114304493;-6.439211281221432;1.2614187231214986;275.5358609488601;0.0;275.5358609488601
0.21600000000000016;-271472.0;-265811.0;10276.0;-3.9843361776866906;-5.1777925580999336;1.1741434437954403;251.45223415445062;-83.33333333333333;334.78556748778396
