Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.004;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.008;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.012;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.016;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.02;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.024;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.028;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.032;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.05200000000000002;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.05600000000000002;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.060000000000000026;-326.0;5.0;-5.0;-0.08158124243425448;-0.00021499999999999997;0.0;-20.39531060856362;0.0;-20.39531060856362
0.06400000000000003;-3578.0;5.0;-331.0;-0.8130119748921198;-0.00021499999999999997;-0.09559924243425447;-182.85768311446634;0.0;-182.85768311446634
0.06800000000000003;-19562.0;-378.0;-3200.0;-3.996118718054857;-0.09581424243425447;-0.8547977324578653;-795.7766857906843;0.0;-795.7766857906843
0.07200000000000004;-72396.0;-4180.0;-15382.0;-13.208534931705978;-0.9506119748921198;-3.7069327431627372;-2303.1040534127806;0.0;-2303.1040534127806
0.07600000000000004;-206428.0;-22810.0;-49586.0;-33.50785736174236;-4.657544718054857;-10.683188213651121;-5074.830607509095;0.0;-5074.830607509095
0.08000000000000004;-486753.0;-84172.0;-122256.0;-70.0812135160256;-15.340732931705979;-23.42413243003638;-9143.33903857081;0.0;-9143.33903857081
0.08400000000000005;-993064.0;-239231.0;-247522.0;-126.57782996011582;-38.76486536174236;-41.95979415428324;-14124.154111022555;-83.33333333333333;-14040.820777689221
0.08800000000000005;-1811704.0;-562129.0;-430935.0;-204.66007232724112;-80.7246595160256;-64.38337544409022;-19520.560591781326;-333.3333333333333;-19187.227258447994
0.09200000000000005;-3031634.0;-1142561.0;-669143.0;-304.98228287614654;-145.10803496011582;-88.3251863671253;-25080.552637226356;-666.6666666666666;-24413.885970559688
0.09600000000000006;-4743113.0;-2076293.0;-955341.0;-427.8699024026217;-233.4332213272411;-112.62872454890541;-30721.904881618782;-1250.0;-29471.904881618782
0.10000000000000006;-7033541.0;-3460540.0;-1282573.0;-572.6067781617458;-346.0619458761465;-136.95859552647516;-36184.21893978102;-1916.6666666666667;-34267.55227311435
0.10400000000000006;-9979467.0;-5392622.0;-1640919.0;-736.4815524505074;-483.0205414026217;-160.1457537591241;-40968.6935721904;-2833.3333333333335;-38135.36023885707
0.10800000000000007;-13638747.0;-7965287.0;-2014180.0;-914.8199533115227;-643.1662951617458;-179.92499728876157;-44584.60021525383;-3833.3333333333335;-40751.2668819205
0.11200000000000007;-18043357.0;-11257652.0;-2381095.0;-1101.1523521326433;-823.0912924505074;-194.11574586101528;-46583.09970528015;-5000.0;-41583.09970528015
0.11600000000000008;-23192024.0;-15326480.0;-2716877.0;-1287.1668165350602;-1017.2070383115226;-200.7710248211206;-46503.61610060423;-6416.666666666667;-40086.94943393757
0.12000000000000008;-29047368.0;-20198392.0;-2993632.0;-1463.8359680177027;-1217.9780631326432;-197.91492940241687;-44167.28787066063;-7916.666666666667;-36250.621203993964
0.12400000000000008;-35541382.0;-25861963.0;-3185405.0;-1623.5034351465729;-1415.89299253506;-184.91539048264258;-39916.86678221754;-9583.333333333334;-30333.533448884205
0.12800000000000009;-42586060.0;-32265196.0;-3276186.0;-1761.1694704568683;-1600.8083830177027;-163.57105012887018;-34416.50882757387;-11083.333333333334;-23333.17549424053
0.1320000000000001;-50084108.0;-39322713.0;-3263347.0;-1874.5118994125628;-1764.3794331465729;-137.1139583102954;-28335.607238923614;-12500.0;-15835.607238923614
0.1360000000000001;-57937517.0;-46928686.0;-3155422.0;-1963.3520276483432;-1901.4933914568683;-108.70165395569461;-22210.032058945104;-13666.666666666666;-8543.365392278436
0.1400000000000001;-66053448.0;-54969466.0;-2968051.0;-2028.9827847274958;-2010.1950454125629;-80.78317523578039;-16407.689269788138;-14750.0;-1657.6892697881362
0.1440000000000001;-74347733.0;-63333378.0;-2720070.0;-2073.5709872250723;-2090.9782206483433;-54.967574079152655;-11147.050624394125;-15583.333333333334;4436.2827089392085
0.1480000000000001;-82748374.0;-71917161.0;-2430572.0;-2100.160215829537;-2145.945794727496;-32.13978849757632;-6647.307151116138;-16250.0;9602.692848883862
0.1520000000000001;-91200304.0;-80629503.0;-2118871.0;-2112.982491084204;-2178.0855832250722;-13.186085604464552;-3205.568813666787;-16666.666666666668;13461.097852999881
0.1560000000000001;-99668114.0;-89394589.0;-1805715.0;-2116.9522024679304;-2191.271668829537;0.6434327453330297;-992.4278459316156;-17000.0;16007.572154068384
0.16000000000000011;-108133932.0;-98157101.0;-1511013.0;-2116.454417560374;-2190.6282360842038;8.70247461627332;124.44622688906293;-17083.333333333332;17207.779560222396
0.16400000000000012;-116592024.0;-106884804.0;-1249128.0;-2114.523105043221;-2181.9257614679304;11.758839907556194;482.8281292882366;-17166.666666666668;17649.494795954903
0.16800000000000012;-125043081.0;-115565471.0;-1026553.0;-2112.763961927319;-2170.1669215603742;11.502037517152985;439.7857789755335;-17000.0;17439.785778975533
0.17200000000000013;-133489933.0;-124200130.0;-842951.0;-2111.7130387594125;-2158.6648840432213;9.654029115902176;262.73079197665083;-17000.0;17262.73079197665
0.17600000000000013;-141935181.0;-132796173.0;-693760.0;-2111.3119082290655;-2149.010854927319;7.466136167906825;100.28263258675452;-16833.333333333332;16933.615965920086
0.18000000000000013;-150380369.0;-141362351.0;-572830.0;-2111.2967796659627;-2141.5447187594123;5.601120530346634;3.782140775683729;-16833.333333333332;16837.115474109014
0.18400000000000014;-158826063.0;-149906125.0;-474244.0;-2111.423414624289;-2135.9435982290656;4.25432656310295;-31.658739581530426;-16750.0;16718.34126041847
