Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.004;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.008;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.012;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.016;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.02;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.024;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.028;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.032;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;5.0;-5.0;-0.0;-0.00021499999999999997;0.0;0.0;0.0;0.0
0.05200000000000002;-360.0;5.0;-5.0;-0.09012415825890183;-0.00021499999999999997;0.0;-22.531039564725457;0.0;-22.531039564725457
0.05600000000000002;-3953.0;5.0;-365.0;-0.8981478794051133;-0.00021499999999999997;-0.10560415825890182;-202.00593028655288;0.0;-202.00593028655288
0.060000000000000026;-21611.0;-418.0;-3535.0;-4.414578952478918;-0.10581915825890183;-0.9443337211462115;-879.1077682684511;0.0;-879.1077682684511
0.06400000000000003;-79978.0;-4618.0;-16993.0;-14.591688690114717;-1.0501528794051134;-4.095125073073804;-2544.27743440895;0.0;-2544.27743440895
0.06800000000000003;-228044.0;-25199.0;-54779.0;-37.01668851416437;-5.145277952478917;-11.801907737635798;-5606.249956012413;0.0;-5606.249956012413
0.07200000000000004;-537724.0;-92987.0;-135057.0;-77.41988463816479;-16.947185690114715;-25.876953824049657;-10100.799031000104;0.0;-10100.799031000104
0.07600000000000004;-1097055.0;-264283.0;-273441.0;-139.8326384719904;-42.82413951416437;-46.35370812400042;-15603.188458456405;-166.66666666666666;-15436.521791789739
0.08000000000000004;-2001420.0;-620994.0;-476061.0;-226.09139303788876;-89.17784763816479;-71.1254138338256;-21564.68864147459;-333.3333333333333;-21231.355308141257
0.08400000000000005;-3349096.0;-1262207.0;-739213.0;-336.9190111352371;-160.3032614719904;-97.5742905658984;-27706.904524337082;-750.0;-26956.904524337082
0.08800000000000005;-5240123.0;-2293717.0;-1055379.0;-472.75669808160166;-257.8775520378888;-124.42275609734833;-33959.42173659114;-1250.0;-32709.42173659114
0.09200000000000005;-7773162.0;-3822918.0;-1417205.0;-633.259773931159;-382.3003081352371;-151.39620494636455;-40125.76896238933;-2083.3333333333335;-38042.435629055995
0.09600000000000006;-11039187.0;-5957704.0;-1815458.0;-816.5061216574162;-533.6965130816017;-177.62795484955734;-45811.58693156431;-3083.3333333333335;-42728.25359823097
0.10000000000000006;-15115655.0;-8803001.0;-2236186.0;-1019.1168434704056;-711.324467931159;-201.33765172625715;-50652.68045324734;-4250.0;-46402.68045324734
0.10400000000000006;-20062967.0;-12453649.0;-2662006.0;-1236.8280723657022;-912.6621196574162;-220.92098181298945;-54427.807223824144;-5666.666666666667;-48761.14055715748
0.10800000000000007;-25922505.0;-16987981.0;-3074986.0;-1464.8844342125724;-1133.5831014704056;-235.4693688952966;-57014.090461717555;-7166.666666666667;-49847.42379505089
0.11200000000000007;-32717213.0;-22464190.0;-3458315.0;-1698.676928775913;-1369.0524703657022;-244.53950884687015;-58448.12364083515;-8916.666666666666;-49531.45697416848
0.11600000000000008;-40455697.0;-28918557.0;-3798656.0;-1934.6209505381942;-1613.5919792125724;-248.42715756334064;-58986.0054405703;-10666.666666666666;-48319.338773903626
0.12000000000000008;-49138090.0;-36366633.0;-4089064.0;-2170.5981818046994;-1862.019136775913;-248.43156576228102;-58994.3078166263;-12666.666666666666;-46327.641149959636
0.12400000000000008;-58761128.0;-44808435.0;-4329655.0;-2405.759241597506;-2110.450702538194;-246.32264426650545;-58790.26494820164;-14583.333333333334;-44206.93161486831
0.12800000000000009;-69321042.0;-54235528.0;-4525600.0;-2639.9784462264893;-2356.7733468046995;-243.5866947928066;-58554.801157245834;-16500.0;-42054.801157245834
0.1320000000000001;-80814342.0;-64636968.0;-4684074.0;-2873.324919373014;-2600.360041597506;-241.03358662898336;-58336.618286631165;-18333.333333333332;-40003.28495329783
0.1360000000000001;-93236484.0;-76002542.0;-4811800.0;-3105.5351848356026;-2841.3936282264895;-238.83869114652452;-58052.56636564718;-20250.0;-37802.56636564718
0.1400000000000001;-106576888.0;-88323471.0;-4913013.0;-3335.1010166904202;-3080.232319373014;-236.56242446258875;-57391.45796370439;-22250.0;-35141.45796370439
0.1440000000000001;-120810955.0;-101590649.0;-4986239.0;-3558.516535149893;-3316.7947438356027;-232.7145498548175;-55853.879614868216;-24083.333333333332;-31770.546281534887
0.1480000000000001;-135894146.0;-115788686.0;-5022269.0;-3770.7975109617;-3549.5092936904202;-224.9648084594728;-53070.24395295173;-25916.666666666668;-27153.57728628506
0.1520000000000001;-151761400.0;-130886582.0;-5007564.0;-3966.8133628268256;-3774.474102149893;-211.64866081180708;-49003.96296628139;-27666.666666666668;-21337.296299614725
0.1560000000000001;-168330275.0;-146831073.0;-4930327.0;-4142.218402681211;-3986.1227629617;-192.69466086512557;-43851.25996359636;-29500.0;-14351.259963596363
0.16000000000000011;-185505716.0;-163546342.0;-4783933.0;-4293.860157618782;-4178.817423826826;-169.11009785438546;-37910.43873439275;-31083.333333333332;-6827.1054010594235
0.16400000000000012;-203185467.0;-180938052.0;-4567664.0;-4419.937635846429;-4347.927521681211;-142.342187937571;-31519.369556911668;-32583.333333333332;1063.9637764216623
0.16800000000000012;-221264912.0;-198899130.0;-4286337.0;-4519.860802481307;-4490.269709618782;-113.98041722764629;-24980.791658719456;-33833.333333333336;8852.541674613882
0.17200000000000013;-239641245.0;-217316130.0;-3948782.0;-4594.083083925858;-4604.250126846428;-85.40830163487772;-18555.570361137827;-35000.0;16444.429638862173
0.17600000000000013;-258219259.0;-236074763.0;-3566482.0;-4644.503279907375;-4689.658428481306;-57.783381444552106;-12605.04899537932;-35916.666666666664;23311.617671287342
0.18000000000000013;-276919059.0;-255064530.0;-3154729.0;-4674.94995569939;-4747.441809925858;-32.71481698151729;-7611.668948003626;-36583.333333333336;28971.66438532971
